date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2023-05-02,23.4,30.8333,31.7662,108.8879,85.6572,1.4763,1.3227,2367969739.2,57.2648,200.4964,7.0,1.0,30.0,72.4114
2023-05-03,25.35,30.8333,21.6304,117.9618,86.1366,1.5993,1.3245,2565300550.8,57.2648,200.4964,7.0,1.0,30.0,72.4114
2023-05-04,26.51,30.8333,16.3082,123.3597,86.6161,1.6725,1.3264,2682687084.88,57.2648,200.4964,7.0,1.0,30.0,72.4114
2023-05-05,27.04,30.8333,14.0285,125.826,86.8957,1.7059,1.3342,2736320587.52,57.2648,200.4964,7.0,1.0,30.0,72.4114
2023-05-08,28.1,30.8333,9.727,130.7585,87.1754,1.7728,1.342,2843587592.8,57.2648,200.4964,7.0,1.0,30.0,72.4114
2023-05-09,27.88,30.8333,10.5929,124.6869,87.8746,1.7562,1.3462,2821324629.44,57.2854,203.3115,7.0,1.0,30.0,71.6374
2023-05-10,26.52,30.8333,16.2643,118.6047,88.5737,1.6705,1.3503,2683699037.76,57.2854,203.3115,7.0,1.0,30.0,71.6374
2023-05-11,25.07,30.8333,22.9888,112.1199,88.8933,1.5792,1.3509,2536965870.16,57.2854,203.3115,7.0,1.0,30.0,71.6374
2023-05-12,24.44,30.8333,26.1592,109.3023,89.2129,1.5395,1.3515,2473212838.72,57.2854,203.3115,7.0,1.0,30.0,71.6374
2023-05-15,24.6,30.8333,25.3386,110.0179,90.1318,1.5496,1.3624,2489404084.8,57.2854,203.3115,7.0,1.0,30.0,71.6374
2023-05-16,24.5,30.8333,25.8502,109.5707,91.0507,1.5433,1.3732,2479284556.0,57.2854,203.3115,7.0,1.0,30.0,71.6374
2023-05-17,28.14,30.8333,9.5711,125.8497,91.1506,1.7726,1.3784,2847635404.32,57.2854,203.3115,7.0,1.0,30.0,71.6374
2023-05-18,31.34,31.5833,0.7763,138.1225,91.2505,1.966,1.3836,3171460325.92,57.5434,204.1176,7.0,1.0,30.0,73.3795
2023-05-19,29.03,32.0769,10.4957,122.3862,91.5102,1.8034,1.3948,2937699210.64,58.5205,205.6164,8.0,1.0,30.0,73.3795
2023-05-22,31.13,33.6154,7.9839,131.2395,91.7699,1.9339,1.4059,3150209315.44,58.6922,205.6164,8.0,1.0,30.0,73.3795
2023-05-23,31.14,34.0,9.1843,131.2816,92.1894,1.9286,1.4068,3151221268.32,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-05-24,32.2,34.0,5.5901,135.7504,92.6089,1.9942,1.4076,3258488273.6,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-05-25,35.34,34.0,-3.7917,148.9882,94.0272,2.1887,1.41,3576241477.92,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-05-26,36.1,34.0,-5.8172,152.1922,95.4455,2.2357,1.4123,3653149896.8,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-05-30,37.54,34.0,-9.4299,158.2631,96.1646,2.3249,1.4135,3798871111.52,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-05-31,32.98,34.0,3.0928,139.0388,96.8837,2.0425,1.4146,3337420598.24,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-01,35.86,34.0,-5.1868,151.1804,99.2209,2.2209,1.4158,3628863027.68,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-02,33.44,34.0,1.6746,140.9781,101.5581,2.071,1.417,3383970430.72,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-05,34.37,34.0,-1.0765,144.8988,102.5968,2.1286,1.4182,3478082048.56,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-06,35.72,34.0,-4.8152,150.5902,103.6356,2.2122,1.4193,3614695687.36,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-07,40.25,34.0,-15.528,169.688,106.2618,2.4928,1.4196,4073110342.0,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-08,41.19,34.0,-17.4557,173.6509,108.8879,2.551,1.42,4168233912.72,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-09,43.09,34.0,-21.0954,181.661,108.9186,2.6687,1.42,4360504959.92,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-12,40.72,34.0,-16.5029,171.6695,108.9493,2.5219,1.42,4120672127.36,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-13,46.93,34.0,-27.5517,197.8499,108.9493,2.9065,1.4208,4749094865.84,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-14,48.17,34.0,-29.4166,203.0776,108.9493,2.9833,1.4217,4874577022.96,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-15,48.64,34.0,-30.0987,205.059,109.1258,3.0124,1.4225,4922138808.32,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-16,51.22,34.0,-33.6197,215.9359,109.3023,3.1722,1.4233,5183222651.36,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-20,50.84,34.0,-33.1235,214.4243,109.5707,3.1486,1.4258,5144768441.92,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-21,45.79,34.0,-25.748,193.1253,109.7943,2.8359,1.4259,4633732237.52,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-22,42.0,34.0,-19.0476,177.1404,110.0179,2.6011,1.426,4250202096.0,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-23,39.51,34.0,-13.9458,166.6385,110.1756,2.4469,1.426,3998225828.88,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-26,37.08,34.0,-8.3064,156.3897,110.3333,2.2964,1.4261,3752321279.04,58.1126,202.9258,9.0,1.0,30.0,73.3795
2023-06-27,39.0,35.1667,-9.829,164.4876,110.3888,2.4153,1.4285,3946616232.0,58.1126,203.3039,9.0,1.0,30.0,73.3795
2023-06-28,41.84,35.5385,-15.0609,198.6705,110.4444,2.5888,1.4309,4234010849.92,58.059,195.4094,8.0,1.0,30.0,69.6945
2023-06-29,41.45,35.5385,-14.2618,196.8186,110.4958,2.5646,1.4312,4194544687.6,58.059,195.4094,8.0,1.0,30.0,69.6945
2023-06-30,42.81,35.5385,-16.9855,203.2764,110.5473,2.6488,1.4316,4332170279.28,58.059,195.4094,8.0,1.0,30.0,69.6945
2023-07-03,43.58,35.5385,-18.4523,206.9326,110.5514,2.6964,1.4356,4410090651.04,58.059,195.4094,8.0,1.0,30.0,69.6945
2023-07-05,41.31,35.5385,-13.9712,196.1538,110.5556,2.556,1.4397,4180377347.28,58.059,195.4094,8.0,1.0,30.0,69.6945
2023-07-06,40.01,35.5385,-11.176,189.981,110.6112,2.4755,1.4403,4048823472.88,58.059,195.4094,8.0,1.0,30.0,69.6945
2023-07-07,41.17,37.0769,-9.9419,197.5528,110.6667,2.5473,1.4409,4166210006.96,58.0591,228.2313,8.0,1.0,30.0,69.6945
2023-07-10,45.71,37.0769,-18.8867,219.3378,110.759,2.8282,1.4409,4625636614.48,58.0591,228.2313,8.0,1.0,30.0,69.6945
2023-07-11,46.95,37.0769,-21.029,225.2879,110.8514,2.905,1.4409,4751118771.6,58.0591,228.2313,8.0,1.0,30.0,69.6945
2023-07-12,43.37,37.0769,-14.5103,208.1094,111.039,2.6834,1.4451,4388839640.56,58.0591,228.2313,8.0,1.0,30.0,69.6945
2023-07-13,46.26,37.2308,-19.5184,221.977,111.2265,2.8623,1.4492,4681294022.88,58.0591,228.2313,8.0,1.0,30.0,69.6945
2023-07-14,44.11,37.2308,-15.5956,211.6603,111.4262,2.7292,1.4502,4463724153.68,58.0591,228.2313,8.0,1.0,30.0,69.6945
2023-07-17,49.49,37.2308,-24.7711,237.476,111.626,3.0621,1.452,5008154803.12,58.0591,228.2313,8.0,1.0,30.0,69.6945
2023-07-18,52.08,38.1538,-26.74,249.904,111.626,3.2224,1.4526,5270250599.04,58.0591,228.2313,8.0,1.0,30.0,69.6945
2023-07-19,48.7,38.1538,-21.6554,233.6852,111.677,3.0132,1.4526,4928210525.6,58.0591,228.2313,8.0,1.0,30.0,69.6945
2023-07-20,45.67,38.1538,-16.4576,219.1459,111.7279,2.8258,1.4526,4621588802.96,58.0591,228.2313,8.0,1.0,30.0,69.6945
2023-07-21,43.68,40.6154,-7.016,212.0388,111.9239,2.7026,1.4532,4420210179.84,58.1517,234.4775,7.0,1.0,30.0,69.6945
2023-07-24,40.97,41.6154,1.5753,198.8835,112.1199,2.535,1.4539,4145970949.36,58.1516,230.669,7.0,1.0,30.0,69.6945
2023-07-25,38.17,41.6154,9.0265,185.2913,112.4922,2.3617,1.4561,3862624142.96,58.1516,230.669,7.0,1.0,30.0,69.6945
2023-07-26,41.28,41.6154,0.8125,200.3883,112.8646,2.5541,1.4583,4177341488.64,58.1516,230.669,7.0,1.0,30.0,69.6945
2023-07-27,39.46,41.6154,5.4622,191.5534,114.8422,2.4415,1.4583,3993166064.48,58.1516,230.669,7.0,1.0,30.0,69.6945
2023-07-28,42.18,41.6154,-1.3385,202.7885,116.8197,2.6098,1.4584,4268417247.84,58.1516,197.171,7.0,1.0,30.0,69.6945
2023-07-31,63.54,49.8462,-21.5515,305.4808,117.3908,3.7958,1.459,6429948599.52,60.488,270.3287,7.0,1.0,30.0,104.1779
2023-08-01,57.61,52.8462,-8.2691,274.3333,117.9618,3.4179,1.4595,5829860541.68,60.8477,225.3452,7.0,1.0,30.0,104.1779
2023-08-02,58.98,52.8462,-10.3998,280.8571,118.2832,3.4991,1.4619,5968498086.24,60.8477,225.3452,7.0,1.0,30.0,104.1779
2023-08-03,57.98,52.8462,-8.8544,276.0952,118.6047,3.4398,1.4643,5867302798.24,60.8477,225.3452,7.0,1.0,30.0,104.1779
2023-08-04,53.61,54.5385,1.732,252.8774,119.1521,3.1788,1.4648,5425079389.68,61.3334,230.3478,7.0,1.0,30.0,104.1779
2023-08-07,52.48,54.5385,3.9224,247.5472,119.6995,3.1118,1.4653,5310728714.24,61.3334,230.3478,7.0,1.0,30.0,104.1779
2023-08-08,49.99,54.5385,9.0988,235.8019,120.8681,2.9641,1.467,5058752447.12,61.3334,230.3478,7.0,1.0,30.0,104.1779
2023-08-09,44.88,54.5385,21.5207,211.6981,122.0367,2.6611,1.4687,4541644525.44,61.3334,230.3478,7.0,1.0,30.0,104.1779
2023-08-10,45.95,54.5385,18.691,216.7453,122.2114,2.7246,1.471,4649923483.6,61.3334,230.3478,7.0,1.0,30.0,104.1779
2023-08-11,43.53,54.5385,25.2895,205.3302,122.3862,2.5811,1.4733,4405030886.64,61.3334,230.3478,7.0,1.0,30.0,104.1779
2023-08-14,44.45,54.5385,22.6963,209.6698,122.5662,2.6356,1.4739,4498130551.6,61.3334,230.3478,7.0,1.0,30.0,104.1779
