date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2009-10-28,12.42,14.4091,16.0153,12.3484,14.2763,0.1698,0.1822,4607820000.0,1.7603,105.8292,4.0,1.0,10.0,-6.2019
2009-10-29,13.06,14.4091,10.33,12.9847,14.2763,0.1786,0.1822,4845260000.0,1.7603,105.8292,4.0,1.0,10.0,-6.2019
2009-10-30,12.52,14.4091,15.0887,12.4478,14.2731,0.1712,0.1814,4644920000.0,1.7603,105.8292,4.0,2.0,8.5,-6.2019
2009-11-02,12.71,14.4091,13.3682,12.6367,14.2608,0.1738,0.1812,4715410000.0,1.7603,105.8292,4.0,2.0,8.5,-6.2019
2009-11-03,12.6,14.4091,14.3579,12.5273,14.2578,0.1723,0.1811,4674600000.0,1.7603,105.8292,4.0,2.0,8.5,-6.2019
2009-11-04,12.49,14.4091,15.3651,12.418,14.2577,0.1708,0.181,4633790000.0,1.7603,105.8292,4.0,2.0,8.5,-6.2019
2009-11-05,12.64,14.4091,13.996,12.5671,14.2535,0.1728,0.1807,4689440000.0,1.7603,105.8292,4.0,2.0,8.5,-6.2019
2009-11-06,12.87,14.4091,11.9588,12.7958,14.2456,0.176,0.1806,4774770000.0,1.7603,105.8292,4.0,2.0,8.5,-6.2019
2009-11-09,13.1,14.4091,9.9931,13.0245,14.2306,0.1791,0.1805,4860100000.0,1.7603,105.8292,4.0,2.0,8.5,-6.2019
2009-11-10,13.19,14.4091,9.2426,13.1139,14.2302,0.1803,0.1804,4893490000.0,1.7603,105.8292,4.0,2.0,8.5,-6.2019
2009-11-11,13.04,14.35,10.046,13.9435,14.2203,0.1792,0.1804,4837840000.0,1.7642,96.999,4.0,2.0,8.5,-6.2019
2009-11-12,12.97,14.1667,9.2267,14.2262,14.2183,0.1777,0.1803,4811870000.0,1.7617,97.1418,4.0,2.0,8.5,-6.2019
2009-11-13,12.91,14.1667,9.7343,14.1604,14.2059,0.1769,0.1801,4789610000.0,1.7617,97.1418,4.0,2.0,8.5,-6.2019
2009-11-16,13.03,14.1667,8.7237,14.292,14.1973,0.1785,0.1798,4834130000.0,1.7617,97.1418,4.0,2.0,8.5,-6.2019
2009-11-17,13.01,14.05,7.9939,14.2873,14.1994,0.1783,0.1796,4826710000.0,1.7612,98.1157,4.0,2.0,8.5,-6.2019
2009-11-18,13.09,14.2273,8.6883,14.0421,14.1973,0.1799,0.1798,4856390000.0,1.7635,97.8466,4.0,2.0,8.5,-6.2019
2009-11-19,13.07,14.2273,8.8546,14.0206,14.196,0.1796,0.1796,4848970000.0,1.7635,97.8466,4.0,2.0,8.5,-6.2019
2009-11-20,13.07,14.2273,8.8546,14.0206,14.19,0.1796,0.1796,4848970000.0,1.7635,97.8466,4.0,2.0,8.5,-6.2019
2009-11-23,12.88,14.3182,11.1661,11.968,14.1745,0.1709,0.1795,4791360000.0,3.4217,98.628,1.0,2.0,8.5,0.5565
2009-11-24,12.37,14.3182,15.7494,11.2159,14.1658,0.1651,0.1794,4601640000.0,3.4242,102.6346,1.0,2.0,8.5,0.5565
2009-11-25,12.42,14.3182,15.2834,11.139,14.1631,0.1651,0.1794,4620240000.0,3.4198,101.9198,1.0,2.0,8.5,1.2794
2009-11-27,12.29,14.3182,16.5028,11.0224,14.1604,0.1634,0.1794,4571880000.0,3.4198,101.9198,1.0,2.0,8.5,1.2794
2009-11-30,12.02,14.3182,19.1198,10.7803,14.158,0.1593,0.1792,4471440000.0,3.464,101.9198,1.0,3.0,8.0,1.2794
2009-12-01,12.23,14.3182,17.0744,10.9686,14.1474,0.1621,0.1792,4549560000.0,3.464,101.9198,1.0,3.0,8.0,1.2794
2009-12-02,12.19,14.3182,17.4586,10.9327,14.1367,0.1616,0.1792,4534680000.0,3.464,101.9198,1.0,3.0,8.0,1.2794
2009-12-03,12.45,14.3182,15.0056,11.1659,14.1335,0.165,0.1792,4631400000.0,3.464,101.9198,1.0,3.0,8.0,1.2794
2009-12-04,12.6,14.4091,14.3579,11.3004,14.1266,0.167,0.179,4687200000.0,3.5023,103.5977,1.0,3.0,8.0,1.2794
2009-12-07,12.71,14.4091,13.3682,11.3991,14.1263,0.1684,0.1789,4728120000.0,3.5023,103.5977,1.0,3.0,8.0,1.2794
2009-12-08,12.58,14.4091,14.5397,11.2825,14.126,0.1667,0.1788,4679760000.0,3.5023,103.5977,1.0,3.0,8.0,1.2794
2009-12-09,12.54,14.4091,14.9051,11.2466,14.1256,0.1662,0.1788,4664880000.0,3.5023,103.5977,1.0,3.0,8.0,1.2794
2009-12-10,12.61,14.4091,14.2672,11.3094,14.118,0.1671,0.1788,4690920000.0,3.5023,103.5977,1.0,3.0,8.0,1.2794
2009-12-11,12.64,14.4091,13.996,11.3363,14.1082,0.1675,0.1786,4702080000.0,3.5023,103.5977,1.0,3.0,8.0,1.2794
2009-12-14,12.71,14.4091,13.3682,11.3991,14.1082,0.1684,0.1784,4728120000.0,3.5023,103.5977,1.0,3.0,8.0,1.2794
2009-12-15,12.53,14.4091,14.9968,11.2377,14.106,0.166,0.1784,4661160000.0,3.5023,103.5977,1.0,3.0,8.0,1.2794
2009-12-16,12.46,14.4091,15.6429,11.1749,14.1036,0.1651,0.1783,4635120000.0,3.5023,103.5977,1.0,3.0,8.0,1.2794
2009-12-17,12.2,14.4091,18.1074,10.9417,14.0992,0.1617,0.1783,4538400000.0,3.5023,103.5977,1.0,3.0,8.0,1.2794
2009-12-18,12.18,14.4091,18.3013,10.9238,14.0948,0.1614,0.1781,4530960000.0,3.5023,103.5977,1.0,3.0,8.0,1.2794
2009-12-21,12.28,14.4091,17.3379,11.085,14.0808,0.1625,0.178,4568160000.0,3.5014,103.7081,1.0,3.0,8.0,1.2794
2009-12-22,12.34,14.4091,16.7674,11.1392,14.0772,0.1633,0.178,4590480000.0,3.5014,103.7081,1.0,3.0,8.0,1.2794
2009-12-23,12.34,14.4091,16.7674,11.1392,14.0747,0.1633,0.1779,4590480000.0,3.5014,103.7081,1.0,3.0,8.0,1.2794
2009-12-24,12.44,14.4091,15.8288,11.2295,14.0728,0.1646,0.1778,4627680000.0,3.5014,103.7081,1.0,3.0,8.0,1.2794
2009-12-28,12.62,14.4091,14.1767,11.3919,14.0463,0.167,0.1776,4694640000.0,3.5014,103.7081,1.0,3.0,8.0,1.2794
2009-12-29,12.57,14.4091,14.6309,11.3468,14.0421,0.1664,0.1775,4676040000.0,3.5014,103.7081,1.0,3.0,8.0,1.2794
2009-12-30,12.5,14.4091,15.2728,11.2836,14.0314,0.1654,0.1775,4650000000.0,3.5014,103.7081,1.0,3.0,8.0,1.2794
2009-12-31,12.27,14.4091,17.4336,11.076,14.0206,0.1624,0.1772,4564440000.0,3.5014,103.7081,1.0,3.0,8.0,1.2794
2010-01-04,12.24,14.5909,19.2067,10.9501,14.0066,0.162,0.1769,4553280000.0,3.5014,103.857,1.0,3.0,8.0,1.2794
2010-01-05,12.47,14.5909,17.008,11.1558,13.99,0.165,0.1769,4638840000.0,3.5014,103.857,1.0,3.0,8.0,1.2794
2010-01-06,13.1,14.5909,11.3809,11.7194,13.9735,0.1734,0.1768,4873200000.0,3.5014,103.857,1.0,3.0,8.0,1.2794
2010-01-07,13.33,14.5909,9.4591,11.9252,13.9735,0.1764,0.1767,4958760000.0,3.5014,103.857,1.0,3.0,8.0,1.2794
2010-01-08,13.3,14.5909,9.706,11.8984,13.9709,0.176,0.1766,4947600000.0,3.5014,103.857,1.0,3.0,8.0,1.2794
2010-01-11,13.12,14.5909,11.2111,11.7373,13.9601,0.1736,0.1765,4880640000.0,3.5014,103.857,1.0,3.0,8.0,1.2794
2010-01-12,12.97,14.5909,12.4973,11.6031,13.9544,0.1716,0.1765,4824840000.0,3.5014,103.857,1.0,3.0,8.0,1.2794
2010-01-13,13.31,14.8636,11.6724,11.7331,13.9486,0.1755,0.1764,4951320000.0,3.4988,104.6588,1.0,3.0,8.0,1.2794
2010-01-14,14.04,14.8636,5.8661,12.3766,13.946,0.1851,0.1765,5222880000.0,3.4988,104.6588,1.0,3.0,8.0,1.2794
2010-01-15,13.89,14.8636,7.0094,12.2444,13.9376,0.1832,0.1765,5167080000.0,3.4988,104.6588,1.0,3.0,8.0,1.2794
2010-01-19,13.99,14.8636,6.2445,12.3325,13.9217,0.1845,0.1764,5204280000.0,3.4988,104.6588,1.0,3.0,8.0,1.2794
2010-01-20,13.9,14.8636,6.9324,12.2532,13.9156,0.1833,0.1764,5170800000.0,3.4988,104.6588,1.0,3.0,8.0,1.2794
2010-01-21,13.65,15.1364,10.8894,11.9506,13.9116,0.1802,0.1764,5077800000.0,3.4998,105.35,1.0,3.0,8.0,1.2794
2010-01-22,13.77,15.1364,9.923,12.0557,13.9087,0.1818,0.1764,5122440000.0,3.4998,105.35,1.0,3.0,8.0,1.2794
2010-01-25,13.89,15.1364,8.9734,12.1607,13.8996,0.1834,0.1764,5167080000.0,3.4998,105.35,1.0,3.0,8.0,1.2794
2010-01-26,13.98,15.1364,8.2718,11.8034,13.8954,0.1841,0.1764,5200560000.0,3.3504,99.8972,2.0,3.0,8.0,1.7084
2010-01-27,13.78,15.1364,9.8433,11.6346,13.8942,0.1815,0.1764,5126160000.0,3.3504,99.8972,2.0,3.0,8.0,1.7084
2010-01-28,13.79,15.1364,9.7636,11.643,13.8928,0.1816,0.1764,5129880000.0,3.3504,99.8972,2.0,3.0,8.0,1.7084
2010-01-29,13.82,15.1364,9.5253,11.6684,13.8926,0.182,0.1764,5141040000.0,3.3504,99.8972,2.0,3.0,8.0,1.7084
2010-02-01,13.99,15.1364,8.1944,11.8119,13.8852,0.1843,0.1764,5204280000.0,3.3504,99.8972,2.0,3.0,8.0,1.7084
2010-02-02,14.27,15.1364,6.0715,12.0483,13.8838,0.188,0.1764,5308440000.0,3.3504,99.8972,2.0,3.0,8.0,1.7084
2010-02-03,14.35,15.1364,5.4801,12.1158,13.8834,0.189,0.1764,5338200000.0,3.3504,99.8972,2.0,3.0,8.0,1.7084
2010-02-04,13.99,15.1364,8.1944,11.8119,13.879,0.1843,0.1764,5204280000.0,3.3504,99.8972,2.0,3.0,8.0,1.7084
2010-02-05,14.65,16.5833,13.1966,10.57,13.8636,0.1906,0.1764,5420500000.0,3.3922,122.5413,2.0,3.0,8.0,7.123
2010-02-08,15.09,16.75,11.0007,10.5377,13.8496,0.1962,0.1764,5583300000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-02-09,15.41,16.75,8.6957,10.7612,13.8481,0.2004,0.1764,5701700000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-02-10,15.53,16.75,7.8558,10.845,13.8164,0.202,0.1764,5746100000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-02-11,15.96,16.75,4.9499,11.1453,13.7741,0.2076,0.1764,5905200000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-02-12,16.04,16.75,4.4264,11.2011,13.7636,0.2086,0.1764,5934800000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-02-16,16.44,16.75,1.8856,11.4804,13.7557,0.2138,0.1764,6082800000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-02-17,16.63,16.75,0.7216,11.6131,13.7549,0.2163,0.1764,6153100000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-02-18,16.9,16.75,-0.8876,11.8017,13.7247,0.2198,0.1764,6253000000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-02-19,16.95,16.75,-1.1799,11.8366,13.6951,0.2204,0.1764,6271500000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-02-22,16.64,16.75,0.6611,11.6201,13.6755,0.2164,0.1764,6156800000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-02-23,16.75,16.75,0.0,11.6969,13.6755,0.2178,0.1764,6197500000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-02-24,16.67,16.75,0.4799,11.6411,13.6755,0.2168,0.1764,6167900000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-02-25,17.0,16.75,-1.4706,11.8715,13.6731,0.2211,0.1764,6290000000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-02-26,17.04,16.75,-1.7019,11.8994,13.6682,0.2216,0.1764,6304800000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-03-01,17.17,16.75,-2.4461,11.9902,13.6428,0.2233,0.1764,6352900000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-03-02,17.45,16.75,-4.0115,12.1858,13.6413,0.2269,0.1764,6456500000.0,3.3133,127.5712,2.0,3.0,8.0,12.6233
2010-03-03,17.22,16.8182,-2.3333,12.0251,13.6374,0.2239,0.1764,6371400000.0,3.3113,131.0904,2.0,3.0,8.0,12.6233
2010-03-04,17.5,16.8182,-3.896,12.2207,13.6278,0.2276,0.1764,6475000000.0,3.3113,131.0904,2.0,3.0,8.0,12.6233
2010-03-05,17.24,16.8182,-2.4466,12.0391,13.618,0.2241,0.1764,6378800000.0,3.3671,131.0904,2.0,3.0,8.0,12.6233
2010-03-08,17.62,17.0909,-3.0028,12.3045,13.6094,0.229,0.1764,6519400000.0,3.369,131.8269,2.0,3.0,8.0,12.6233
2010-03-09,17.6,17.3636,-1.3432,11.916,13.6061,0.2288,0.1764,6512000000.0,3.3691,134.1199,2.0,3.0,8.0,12.6233
2010-03-10,17.51,17.3636,-0.8361,11.8551,13.6044,0.2276,0.1764,6478700000.0,3.3691,134.1199,2.0,3.0,8.0,12.6233
2010-03-11,17.74,17.3636,-2.1218,12.0108,13.5889,0.2306,0.1764,6563800000.0,3.3691,134.1199,2.0,3.0,8.0,12.6233
2010-03-12,17.54,17.3636,-1.0057,11.8754,13.5848,0.228,0.1764,6489800000.0,3.3691,134.1199,2.0,3.0,8.0,12.6233
2010-03-15,17.37,17.3636,-0.0368,11.7603,13.5788,0.2258,0.1764,6426900000.0,3.3691,134.1199,2.0,3.0,8.0,12.6233
2010-03-16,17.66,17.3636,-1.6784,11.9567,13.5746,0.2296,0.1764,6534200000.0,3.3691,134.1199,2.0,3.0,8.0,12.6233
2010-03-17,17.7,17.3636,-1.9006,11.9838,13.5703,0.2301,0.1764,6549000000.0,3.3691,134.1199,2.0,3.0,8.0,12.6233
2010-03-18,17.65,17.3636,-1.6227,11.7667,13.5633,0.2293,0.1764,6530500000.0,3.3691,135.2788,2.0,3.0,8.0,12.6233
2010-03-19,17.72,17.3636,-2.0113,11.8133,13.5606,0.2302,0.1764,6556400000.0,3.3691,135.2788,2.0,3.0,8.0,12.6233
2010-03-22,18.11,17.8182,-1.6113,11.9538,13.5596,0.2352,0.1764,6700700000.0,3.3681,138.722,2.0,3.0,8.0,13.3646
2010-03-23,18.29,18.1818,-0.5916,12.0726,13.5576,0.2375,0.1764,6767300000.0,3.3681,138.722,2.0,3.0,8.0,13.3646
2010-03-24,18.44,18.1818,-1.4002,12.1716,13.5556,0.2395,0.1764,6822800000.0,3.3681,138.722,2.0,3.0,8.0,13.3646
2010-03-25,18.21,18.1818,-0.1549,12.0198,13.5514,0.2365,0.1764,6737700000.0,3.3681,138.722,2.0,3.0,8.0,13.3646
2010-03-26,18.7,18.1818,-2.7711,12.3432,13.5336,0.2428,0.1764,6919000000.0,3.3681,138.722,2.0,3.0,8.0,13.3646
2010-03-29,19.09,18.6364,-2.3761,12.4365,13.5233,0.2477,0.1764,7063300000.0,3.4531,141.5159,2.0,3.0,8.0,13.3646
2010-03-30,19.17,18.6364,-2.7835,12.4886,13.522,0.2488,0.1764,7092900000.0,3.4531,141.5159,2.0,3.0,8.0,9.6036
2010-03-31,19.15,18.6364,-2.682,12.4756,13.5206,0.2485,0.1764,7085500000.0,3.4531,141.5159,2.0,3.0,8.0,9.6036
2010-04-01,19.5,18.6364,-4.4287,12.7036,13.5099,0.253,0.1764,7215000000.0,3.4531,141.5159,2.0,3.0,8.0,9.6036
2010-04-05,19.2,19.0,-1.0417,12.2684,13.5026,0.249,0.1764,7104000000.0,3.453,144.1707,2.0,3.0,8.0,11.5683
2010-04-06,18.98,19.0,0.1054,12.1278,13.5006,0.2462,0.1764,7022600000.0,3.453,144.1707,2.0,3.0,8.0,11.5683
2010-04-07,19.24,19.0,-1.2474,12.2939,13.496,0.2495,0.1764,7118800000.0,3.453,144.1707,2.0,3.0,8.0,11.5683
2010-04-08,19.48,19.0,-2.4641,12.4473,13.4818,0.2527,0.1764,7207600000.0,3.453,144.1707,2.0,3.0,8.0,11.5683
2010-04-09,19.67,19.2727,-2.0198,12.5687,13.458,0.2551,0.1764,7277900000.0,3.453,144.1707,2.0,3.0,8.0,11.5683
2010-04-12,20.0,19.8182,-0.909,12.0337,13.432,0.2575,0.1764,7400000000.0,4.163,150.0576,2.0,3.0,8.0,11.5683
2010-04-13,20.07,19.8182,-1.2546,12.0758,13.4309,0.2584,0.1764,7425900000.0,4.163,150.0576,2.0,3.0,8.0,11.5683
2010-04-14,20.27,20.0909,-0.8836,12.1232,13.4288,0.261,0.1764,7499900000.0,4.163,151.2181,2.0,3.0,8.0,11.5683
2010-04-15,20.4,20.0909,-1.5152,12.201,13.4146,0.2626,0.1764,7548000000.0,3.9852,153.3772,3.0,3.0,8.0,11.5683
2010-04-16,19.88,20.0909,1.0609,11.89,13.4024,0.2559,0.1764,7355600000.0,3.9852,153.3772,3.0,3.0,8.0,11.5683
2010-04-19,19.9,20.0909,0.9593,11.9019,13.3772,0.2561,0.1764,7363000000.0,3.9852,153.3772,3.0,3.0,8.0,11.5683
2010-04-20,20.07,20.0909,0.1041,12.0036,13.3632,0.2583,0.1764,7425900000.0,3.9852,153.3772,3.0,3.0,8.0,11.5683
2010-04-21,20.21,20.0909,-0.5893,12.0873,13.3524,0.2601,0.1764,7477700000.0,3.9852,153.3772,3.0,3.0,8.0,11.5683
2010-04-22,20.32,20.0909,-1.1275,12.1531,13.3415,0.2616,0.1764,7518400000.0,3.9852,153.3772,3.0,3.0,8.0,11.5683
2010-04-23,20.15,20.6364,2.4139,12.0514,13.3363,0.2594,0.1764,7455500000.0,3.9852,153.3772,3.0,3.0,8.0,11.5683
2010-04-26,20.4,20.6364,1.1588,12.201,13.3327,0.2626,0.1764,7548000000.0,3.9852,153.3772,3.0,3.0,8.0,11.5683
2010-04-27,19.57,20.6364,5.4492,11.7045,13.3327,0.2519,0.1764,7240900000.0,3.9852,153.3772,3.0,3.0,8.0,11.5683
2010-04-28,19.69,20.6364,4.8065,11.7763,13.3327,0.2534,0.1764,7285300000.0,3.9852,153.3772,3.0,3.0,8.0,11.5683
2010-04-29,19.88,20.6364,3.8048,11.89,13.3244,0.2559,0.1764,7355600000.0,3.9852,153.3772,3.0,3.0,8.0,11.5683
2010-04-30,19.59,20.6364,5.3415,11.7165,13.3237,0.2522,0.1764,7248300000.0,3.9852,153.3772,3.0,3.0,8.0,11.5683
2010-05-03,19.9,20.8182,4.6141,11.7612,13.307,0.2554,0.1764,7363000000.0,3.9845,154.7708,3.0,3.0,8.0,11.5683
2010-05-04,19.52,20.8182,6.6506,11.5366,13.3008,0.2505,0.1764,7222400000.0,3.9845,154.7708,3.0,3.0,8.0,11.5683
2010-05-05,19.43,20.8182,7.1446,11.1283,13.2946,0.2494,0.1764,7189100000.0,3.9845,162.7361,3.0,3.0,8.0,11.5683
2010-05-06,18.58,20.8182,12.0463,10.6415,13.2873,0.2385,0.1764,6874600000.0,3.9845,162.7361,3.0,3.0,8.0,11.5683
2010-05-07,18.62,20.9091,12.2938,10.6644,13.2616,0.239,0.1764,6889400000.0,3.9843,163.404,3.0,3.0,8.0,11.5683
2010-05-10,18.24,22.0,20.614,9.4239,13.2561,0.2292,0.1764,6767040000.0,4.4069,187.4443,3.0,3.0,8.0,27.1419
2010-05-11,18.02,22.0,22.0866,9.2023,13.2506,0.227,0.1764,6685420000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-05-12,18.13,22.0,21.3458,9.2585,13.245,0.2284,0.1764,6726230000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-05-13,18.13,22.0,21.3458,9.2585,13.2444,0.2284,0.1764,6726230000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-05-14,17.7,22.0,24.2938,9.0389,13.2137,0.2229,0.1764,6566700000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-05-17,17.64,22.0,24.7166,9.0083,13.2019,0.2222,0.1764,6544440000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-05-18,17.81,22.0,23.5261,9.0951,13.1999,0.2243,0.1764,6607510000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-05-19,17.8,22.0,23.5955,9.09,13.1979,0.2242,0.1764,6603800000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-05-20,16.97,22.0,29.6405,8.6661,13.1869,0.2138,0.1764,6295870000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-05-21,17.08,22.0,28.8056,8.7223,13.1585,0.2151,0.1764,6336680000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-05-24,16.98,22.0,29.5642,8.6712,13.1139,0.2139,0.1764,6299580000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-05-25,17.03,22.0,29.1838,8.6968,13.1094,0.2145,0.1764,6318130000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-05-26,16.73,22.0,31.5003,8.5436,13.1049,0.2107,0.1764,6206830000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-05-27,17.78,22.0,23.7345,9.0798,13.0958,0.224,0.1764,6596380000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-05-28,17.58,22.0,25.1422,8.9776,13.0488,0.2214,0.1764,6522180000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-01,17.02,22.0,29.2597,8.6917,13.0245,0.2144,0.1764,6314420000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-02,17.51,22.0,25.6425,8.9419,13.0243,0.2206,0.1764,6496210000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-03,18.1,22.0,21.547,9.2432,13.006,0.228,0.1764,6715100000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-04,17.5,22.0,25.7143,8.9368,12.9862,0.2204,0.1764,6492500000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-07,17.52,22.0,25.5708,8.947,12.9641,0.2207,0.1764,6499920000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-08,17.58,22.0,25.1422,8.9776,12.9641,0.2214,0.1764,6522180000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-09,17.65,22.0,24.6459,9.0134,12.9641,0.2223,0.1764,6548150000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-10,18.13,22.0,21.3458,9.2585,12.9515,0.2284,0.1764,6726230000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-11,18.57,22.0,18.4707,9.4832,12.9268,0.2339,0.1764,6889470000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-14,18.42,22.0,19.4354,9.4066,12.8467,0.2315,0.1764,6833820000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-15,18.68,22.0,17.773,9.5394,12.8441,0.2347,0.1764,6930280000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-16,18.4,21.8182,18.5772,9.3964,12.8415,0.2312,0.1764,6826400000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-17,18.39,21.8182,18.6417,9.3913,12.8415,0.2311,0.1764,6822690000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-18,18.32,21.8182,19.095,9.3555,12.8374,0.2302,0.1764,6796720000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-21,18.12,21.8182,20.4095,9.2534,12.8171,0.2277,0.1764,6722520000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-22,17.7,21.8182,23.2667,9.0389,12.8104,0.2224,0.1764,6566700000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-23,17.71,21.8182,23.1971,9.044,12.8036,0.2225,0.1764,6570410000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-24,17.87,21.8182,22.094,9.1257,12.7958,0.2245,0.1764,6629770000.0,4.083,189.4087,3.0,3.0,8.0,27.1419
2010-06-25,17.3,21.8182,26.1168,8.8346,12.7174,0.2174,0.1764,6418300000.0,4.083,190.4956,3.0,3.0,8.0,27.1419
2010-06-28,17.25,21.8182,26.4823,8.8091,12.7036,0.2168,0.1764,6399750000.0,4.083,190.4956,3.0,3.0,8.0,27.1419
2010-06-29,16.75,21.8182,30.2579,8.5538,12.6993,0.2105,0.1764,6214250000.0,4.083,190.4956,3.0,3.0,8.0,27.1419
2010-06-30,16.39,21.8182,33.119,8.3699,12.695,0.206,0.1764,6080690000.0,4.083,190.4956,3.0,3.0,8.0,27.1419
2010-07-01,16.25,21.8182,34.2658,8.2984,12.6545,0.2042,0.1764,6028750000.0,4.083,190.4956,3.0,3.0,8.0,27.1419
2010-07-02,16.43,21.8182,32.7949,8.3904,12.6367,0.2065,0.1764,6095530000.0,4.083,190.4956,3.0,3.0,8.0,27.1419
2010-07-06,16.53,22.1818,34.1912,8.4221,12.5988,0.2077,0.1764,6132630000.0,4.083,190.9096,3.0,3.0,8.0,27.1419
2010-07-07,16.9,22.1818,31.2533,8.6106,12.5988,0.2124,0.1764,6269900000.0,4.3829,188.2211,2.0,3.0,8.0,27.1419
2010-07-08,17.2,22.1818,28.964,8.8241,12.5926,0.2159,0.1764,6381200000.0,4.3838,187.8458,2.0,3.0,7.3333,27.1419
2010-07-09,17.54,22.1818,26.4641,8.9986,12.5814,0.2202,0.1764,6507340000.0,4.3838,188.4974,2.0,3.0,7.3333,27.8531
2010-07-12,17.54,22.1818,26.4641,8.9986,12.5735,0.2202,0.1764,6507340000.0,4.3838,188.4974,2.0,3.0,7.3333,27.8531
2010-07-13,17.74,22.1818,25.0383,9.1012,12.5735,0.2227,0.1764,6581540000.0,4.3838,189.2314,2.0,3.0,7.3333,27.8531
2010-07-14,17.84,22.1818,24.3374,9.1525,12.5735,0.224,0.1764,6618640000.0,4.3838,189.2314,2.0,3.0,7.3333,27.8531
2010-07-15,17.79,22.1818,24.6869,9.1268,12.5711,0.2233,0.1764,6600090000.0,4.3838,189.2314,2.0,3.0,7.3333,27.8531
2010-07-16,17.18,22.1818,29.1141,8.799,12.5679,0.2157,0.1764,6373780000.0,4.3838,189.8295,2.0,3.0,7.3333,27.8531
2010-07-19,17.54,22.1818,26.4641,8.9834,12.5482,0.2202,0.1764,6507340000.0,4.3838,189.8295,2.0,3.0,7.3333,27.8531
2010-07-20,17.38,21.7764,25.2957,8.9014,12.5469,0.2182,0.1764,6447980000.0,4.3838,189.8295,2.0,3.0,7.3333,27.8531
2010-07-21,17.28,21.7764,26.0208,8.8502,12.545,0.2169,0.1764,6410880000.0,4.3838,189.8295,2.0,3.0,7.3333,27.8531
2010-07-22,17.85,21.7764,21.9966,9.1421,12.5413,0.2241,0.1764,6622350000.0,4.3838,189.8295,2.0,3.0,7.3333,27.8531
2010-07-23,17.93,21.7764,21.4523,9.1695,12.5334,0.2256,0.1764,6652030000.0,4.384,191.7349,2.0,3.0,7.3333,27.8531
2010-07-26,18.06,21.7764,20.5781,9.3054,12.5148,0.2273,0.1764,6700260000.0,4.3642,190.5694,2.0,3.0,7.3333,27.8531
