date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2022-02-17,11.77,14.4286,22.5879,43.5926,116.1772,9.2484,22.6097,23678462280.0,30.156,43.3828,3.0,1.0,43.6175,32.9867
2022-02-18,11.02,14.4286,30.931,40.8148,116.0528,8.6591,22.6044,22169639280.0,30.156,43.3828,3.0,1.0,43.6175,32.9867
2022-02-22,10.48,12.3333,17.6842,38.3883,115.8994,8.2119,22.5902,21083286720.0,29.9107,40.2591,4.0,1.0,43.6175,32.9867
2022-02-23,10.43,12.3333,18.2483,38.2051,115.8706,8.1727,22.5813,20982698520.0,29.9107,40.2591,4.0,1.0,43.6175,32.9867
2022-02-24,11.83,12.3333,4.2544,43.3333,115.8497,9.2697,22.5332,23799168120.0,29.9107,40.2591,4.0,1.0,43.6175,32.9867
2022-02-25,11.47,12.3333,7.5266,42.0147,115.8288,8.9876,22.4851,23074933080.0,29.9107,40.2591,4.0,2.0,36.8088,32.9867
2022-02-28,11.85,12.3333,4.0785,43.4066,115.7992,9.2854,22.4848,23839403400.0,29.9107,40.2591,4.0,2.0,36.8088,32.9867
2022-03-01,12.18,12.3333,1.2586,44.6154,115.7696,9.544,22.4845,24503285520.0,29.9107,40.2591,4.0,2.0,36.8088,32.9867
2022-03-02,12.06,12.3333,2.2662,44.1758,115.7224,9.4499,22.4751,24261873840.0,29.9107,40.2591,4.0,2.0,36.8088,32.9867
2022-03-03,11.34,12.3333,8.7593,41.5385,115.6752,8.8858,22.4657,22813403760.0,29.9107,40.2591,4.0,2.0,36.8088,32.9867
2022-03-04,10.96,12.3333,12.5301,40.1465,115.51,8.588,22.461,22048933440.0,29.9107,40.2591,4.0,2.0,36.8088,32.9867
2022-03-07,11.11,12.8571,15.7255,41.5172,115.3447,8.6919,22.4564,22350698040.0,29.8377,38.7659,5.0,2.0,36.8088,32.9867
2022-03-08,11.04,13.125,18.8859,41.7234,115.2881,8.6213,22.4471,22209874560.0,29.8364,38.6287,5.0,2.0,36.8088,32.9867
2022-03-09,11.65,13.125,12.6609,44.0287,115.2315,9.0977,22.4378,23437050600.0,29.8364,38.6287,5.0,2.0,36.8088,32.9867
2022-03-10,11.87,13.125,10.5729,44.8602,115.0992,9.2695,22.4237,23879638680.0,29.8364,38.6287,5.0,2.0,36.8088,32.9867
2022-03-11,11.39,13.125,15.2327,43.0461,114.9669,8.8946,22.4095,22913991960.0,29.8364,38.6287,5.0,2.0,36.8088,32.9867
2022-03-14,10.5,13.125,25.0,39.6825,114.9669,8.1996,22.3673,21123522000.0,29.8364,38.6287,5.0,2.0,36.8088,32.9867
2022-03-15,10.77,13.125,21.8663,40.7029,114.9669,8.4105,22.3251,21666698280.0,29.8364,38.6287,5.0,2.0,36.8088,32.9867
2022-03-16,11.79,13.125,11.3232,44.5578,114.9197,9.207,22.2996,23718697560.0,29.8364,38.6287,5.0,2.0,36.8088,32.9867
2022-03-17,12.32,13.125,6.5341,46.5608,114.8725,9.6209,22.274,24784932480.0,29.8364,38.6287,5.0,2.0,36.8088,32.9867
2022-03-18,12.82,13.125,2.3791,48.4505,114.8529,10.0114,22.2328,25790814480.0,29.8364,38.6287,5.0,2.0,36.8088,32.9867
2022-03-21,12.59,13.125,4.2494,47.5813,114.8333,9.8318,22.1916,25328108760.0,29.8365,38.6287,5.0,2.0,36.8088,32.9867
2022-03-22,13.27,13.125,-1.0927,50.1512,114.8296,10.3628,22.1782,26696108280.0,29.8365,38.6287,5.0,2.0,36.8088,32.9867
2022-03-23,13.18,13.125,-0.4173,49.811,114.8259,10.2925,22.1647,26515049520.0,29.8365,38.6287,5.0,2.0,36.8088,32.9867
2022-03-24,13.39,13.125,-1.9791,50.6047,114.7762,10.4565,22.164,26937519960.0,29.8365,38.6287,5.0,2.0,36.8088,32.9867
2022-03-25,12.97,13.125,1.1951,49.0174,114.7264,10.1285,22.1632,26092579080.0,29.8365,38.6287,5.0,2.0,36.8088,32.9867
2022-03-28,13.42,13.125,-2.1982,50.7181,114.7052,10.4799,22.1628,26997872880.0,29.8365,38.6287,5.0,2.0,36.8088,32.9867
2022-03-29,14.2,13.125,-7.5704,53.6659,114.6839,11.0891,22.1623,28567048800.0,29.8365,38.6287,5.0,2.0,36.8088,32.9867
2022-03-30,13.88,13.125,-5.4395,52.4565,114.6839,10.8392,22.1446,27923284320.0,29.8365,38.6287,5.0,2.0,36.8088,32.9867
2022-03-31,13.73,13.125,-4.4064,51.8896,114.6839,10.722,22.1268,27621519720.0,29.8365,38.6287,5.0,2.0,36.8088,32.9867
2022-04-01,13.83,13.125,-5.0976,52.2676,114.613,10.8001,22.1228,27822696120.0,29.8365,38.6287,5.0,2.0,36.8088,32.9867
2022-04-04,14.63,13.125,-10.2871,55.291,114.542,11.4248,22.1188,29432107320.0,29.8365,38.6287,5.0,2.0,36.8088,32.9867
2022-04-05,13.89,13.125,-5.5076,52.4943,114.4476,10.847,22.1078,27943401960.0,29.8365,38.6287,5.0,2.0,36.8088,32.9867
2022-04-06,13.0,13.125,0.9615,49.1308,114.3532,10.152,22.0969,26152932000.0,29.8365,38.6287,5.0,2.0,36.8088,32.9867
2022-04-07,12.84,13.125,2.2196,48.5261,114.2662,10.027,22.0851,25831049760.0,29.8365,38.6287,5.0,2.0,36.8088,32.9867
2022-04-08,12.7,13.8889,9.3614,49.2057,114.1791,9.942,22.0732,25549402800.0,29.838,38.4425,5.0,2.0,36.8088,32.9969
2022-04-11,12.66,13.8889,9.707,49.0508,114.1791,9.9107,22.0636,25468932240.0,29.838,38.4425,5.0,2.0,36.8088,32.9969
2022-04-12,12.46,13.8889,11.4679,48.2759,114.1791,9.7542,22.054,25066579440.0,29.838,38.4425,5.0,2.0,36.8088,32.9969
2022-04-13,12.9,13.8889,7.6659,49.9806,114.1245,10.0986,22.0518,25951755600.0,29.838,38.4425,5.0,2.0,36.8088,32.9969
2022-04-14,12.42,13.8889,11.8269,48.1209,114.0699,9.7229,22.0496,24986108880.0,29.838,38.4425,5.0,2.0,36.8088,32.9969
2022-04-18,12.15,14.2222,17.0551,47.0748,114.0285,9.5115,22.0402,24442932600.0,29.838,38.4425,5.0,2.0,36.8088,32.9969
2022-04-19,12.91,14.2222,10.1642,50.0194,113.9871,10.1064,22.0307,25971873240.0,29.838,38.4425,5.0,2.0,36.8088,32.9969
2022-04-20,12.79,14.3889,12.5012,49.5544,113.9576,10.0125,22.0242,25730461560.0,29.838,38.4425,5.0,2.0,36.8088,32.9969
2022-04-21,12.33,14.5,17.5994,47.7722,113.9282,9.6524,22.0176,24805050120.0,29.838,38.4425,5.0,2.0,36.8088,32.9969
2022-04-22,11.96,14.5,21.2375,46.3386,113.9044,9.3627,21.995,24060697440.0,29.838,38.4425,5.0,2.0,36.8088,32.9969
2022-04-25,12.11,14.5,19.7358,46.9198,113.8806,9.4802,21.9724,24362462040.0,29.838,38.4425,5.0,2.0,36.8088,32.9969
2022-04-26,11.12,14.5,30.3957,43.1008,113.8377,8.7078,21.9676,22370815680.0,29.8081,38.4166,5.0,2.0,36.8088,32.9969
2022-04-27,10.56,14.5,37.3106,40.9302,113.7948,8.2693,21.9628,21244227840.0,29.8081,38.4166,5.0,2.0,36.8088,32.9969
2022-04-28,10.95,14.5,32.4201,42.4419,113.7914,8.5747,21.9594,22028815800.0,29.8081,38.4166,5.0,2.0,36.8088,32.9969
2022-04-29,10.4,14.5,39.4231,40.3101,113.788,8.144,21.9561,20922345600.0,29.8081,38.4166,5.0,2.0,36.8088,32.9969
2022-05-02,10.74,14.5,35.0093,41.6279,113.7706,8.4102,21.9524,21606345360.0,29.8081,38.4166,5.0,2.0,36.8088,32.9969
2022-05-03,10.55,14.5,37.4408,40.8915,113.7531,8.2614,21.9488,21224110200.0,29.8081,38.4166,5.0,2.0,36.8088,32.9969
2022-05-04,10.98,14.5,32.0583,42.5581,113.7531,8.5982,21.9488,22089168720.0,29.8081,38.4166,5.0,2.0,36.8088,32.9969
2022-05-05,10.12,14.5,43.2806,39.2248,113.7531,7.9247,21.9488,20359051680.0,29.8081,38.4166,5.0,2.0,36.8088,32.9969
2022-05-06,9.48,14.1667,49.4378,36.7442,113.6282,7.4235,21.9329,19071522720.0,29.8081,38.4166,5.0,2.0,36.8088,32.9969
2022-05-09,7.46,10.7222,43.7292,31.4768,113.5033,5.9723,21.9042,15190850220.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-05-10,7.29,10.7222,47.0809,30.7595,113.4344,5.8362,21.8915,14844678030.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-05-11,6.71,10.7222,59.7943,28.3122,113.3656,5.3718,21.8664,13663619970.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-05-12,7.34,10.7222,46.079,30.9705,113.3636,5.8762,21.8413,14946493380.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-05-13,8.34,10.7222,28.5635,35.1899,113.3617,6.6768,21.8278,16982800380.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-05-16,8.04,10.7222,33.3607,33.9241,113.338,6.4366,21.8144,16371908280.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-05-17,8.36,10.7222,28.256,35.2743,113.3144,6.6928,21.8144,17023526520.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-05-18,8.01,10.7222,33.8602,33.7975,113.2436,6.4126,21.8144,16310819070.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-05-19,8.31,10.7222,29.0277,35.0633,113.1728,6.6527,21.8119,16921711170.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-05-20,8.08,10.7222,32.7005,34.0928,113.054,6.4686,21.8094,16453360560.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-05-23,8.01,10.7222,33.8602,33.7975,112.9176,6.4126,21.7596,16310819070.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-05-24,7.55,10.7222,42.0159,31.8565,112.9,6.0443,21.7097,15374117850.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-05-25,7.96,10.7222,34.701,33.5865,112.8754,6.3725,21.6951,16209003720.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-05-26,8.36,10.7222,28.256,35.2743,112.8508,6.6928,21.6804,17023526520.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-05-27,8.85,10.7222,21.1548,37.3418,112.747,7.0851,21.6622,18021316950.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-05-31,8.68,10.7222,23.5276,36.6245,112.6431,6.949,21.644,17675144760.0,28.7179,36.8907,5.0,2.0,32.2891,33.8824
2022-06-01,8.46,10.7222,26.74,35.6962,112.4652,6.7766,21.631,17227157220.0,28.3915,36.8907,5.0,2.0,32.2891,33.8824
2022-06-02,9.3,10.7222,15.2925,39.2405,112.2873,7.4495,21.6179,18937655100.0,28.3915,36.8907,5.0,2.0,32.2891,33.8824
2022-06-03,8.94,10.74,20.1342,37.7215,112.1636,7.1601,21.5987,18204584580.0,28.3803,36.8907,5.0,2.0,32.2891,33.8824
2022-06-06,8.98,10.74,19.5991,37.8903,112.0398,7.1922,21.5795,18286036860.0,28.3803,36.8907,5.0,2.0,32.2891,33.8824
2022-06-07,9.13,10.74,17.6342,38.5232,112.0398,7.3123,21.5559,18591482910.0,28.3803,36.8907,5.0,2.0,32.2891,33.8824
2022-06-08,9.18,10.74,16.9935,38.7342,112.0397,7.3523,21.5323,18693298260.0,28.3803,36.8907,5.0,2.0,32.2891,33.8824
2022-06-09,8.68,10.74,23.7327,36.6245,112.0247,6.9519,21.4988,17675144760.0,28.3803,36.8907,5.0,2.0,32.2891,33.8824
2022-06-10,8.26,10.74,30.0242,34.8523,112.0097,6.6155,21.4653,16819895820.0,28.3803,36.8907,5.0,2.0,32.2891,33.8824
2022-06-13,7.64,10.74,40.5759,32.2363,111.9302,6.1189,21.4458,15557385480.0,28.3803,36.8907,5.0,2.0,32.2891,33.8824
2022-06-14,7.82,10.74,37.3402,32.9958,111.8508,6.2631,21.4262,15923920740.0,28.3803,36.8907,5.0,2.0,32.2891,33.8824
2022-06-15,8.12,10.74,32.266,34.2616,111.8488,6.5034,21.4214,16534812840.0,28.3803,36.8907,5.0,2.0,32.2891,33.8824
2022-06-16,7.67,10.74,40.0261,32.3629,111.8467,6.143,21.4166,15618474690.0,28.3803,36.8907,5.0,2.0,32.2891,33.8824
2022-06-17,8.24,10.74,30.3398,34.7679,111.7691,6.5995,21.3926,16779169680.0,28.3803,36.8907,5.0,2.0,32.2891,33.8824
2022-06-21,8.71,10.9455,25.6659,37.1429,111.6915,6.9647,21.3687,17736233970.0,28.3803,37.0095,5.0,2.0,32.749,34.1745
2022-06-22,9.01,10.8667,20.6071,37.9368,111.5114,7.2109,21.34,18347126070.0,28.25,37.3445,6.0,2.0,32.749,34.1745
2022-06-23,9.46,10.8667,14.87,39.8316,111.3314,7.571,21.3112,19263464220.0,28.25,37.3445,6.0,2.0,32.749,34.1745
2022-06-24,10.19,10.8667,6.6408,42.9053,111.2777,8.1553,21.2929,20749968330.0,28.25,37.3445,6.0,2.0,32.749,34.1745
2022-06-27,9.62,10.8667,12.9595,40.5053,111.224,7.6991,21.2747,19589273340.0,28.25,37.3445,6.0,2.0,32.749,34.1745
2022-06-28,9.31,10.8667,16.7207,39.2,111.1597,7.451,21.2642,18958018170.0,28.25,37.3445,6.0,2.0,32.749,34.1745
2022-06-29,9.23,10.8667,17.7324,38.8632,111.0954,7.3869,21.2537,18795113610.0,28.25,37.3445,6.0,2.0,32.749,34.1745
2022-06-30,9.07,10.8667,19.8093,38.1895,111.0868,7.2589,21.2304,18469304490.0,28.25,37.3445,6.0,2.0,32.749,34.1745
2022-07-01,9.27,10.8667,17.2244,39.0316,111.0783,7.419,21.2072,18876565890.0,28.25,37.3445,6.0,2.0,32.749,34.1745
2022-07-05,10.07,10.8667,7.9116,42.4,111.0555,8.0592,21.197,20505611490.0,28.25,37.3445,6.0,2.0,32.749,34.1745
2022-07-06,9.8,10.8667,10.8847,41.2632,111.0327,7.8431,21.1868,19955808600.0,28.25,37.3445,6.0,2.0,32.749,34.1745
2022-07-07,10.18,10.8667,6.7456,42.8632,111.0166,8.1473,21.182,20729605260.0,28.25,37.3445,6.0,2.0,32.749,34.1745
2022-07-08,10.17,10.8667,6.8505,42.8211,111.0005,8.1392,21.1771,20709242190.0,28.25,37.3445,6.0,2.0,32.749,34.1745
2022-07-11,9.56,10.8667,13.6684,40.4057,110.9771,7.6804,21.1718,19467094920.0,28.0682,37.1544,6.0,2.0,32.749,34.1745
2022-07-12,9.49,10.8667,14.5068,40.1099,110.9537,7.6242,21.1718,19324553430.0,28.0682,37.1544,6.0,2.0,32.749,34.1745
2022-07-13,9.28,10.8667,17.0981,39.2223,110.9175,7.4555,21.1718,18896928960.0,28.0682,37.1544,6.0,2.0,32.749,34.1745
2022-07-14,8.9,10.8667,22.0978,37.6162,110.8813,7.1502,21.1656,18123132300.0,28.0682,37.1544,6.0,2.0,32.749,34.1745
2022-07-15,9.04,10.8667,20.2069,38.3376,110.6656,7.2951,21.1594,18408215280.0,28.0684,37.1475,6.0,2.0,32.749,34.1745
2022-07-18,9.03,10.8667,20.34,38.2952,110.4499,7.2843,21.155,18387852210.0,28.0684,37.1475,6.0,2.0,32.749,34.1745
2022-07-19,9.34,11.5692,23.8672,39.6098,110.3991,7.5302,21.1352,19019107380.0,28.0683,37.1475,6.0,2.0,32.749,34.1745
2022-07-20,10.11,11.5692,14.4332,42.8753,110.3483,8.151,21.1155,20587063770.0,28.0683,37.1475,6.0,2.0,32.749,34.1745
2022-07-21,10.49,11.2,6.7684,44.4869,110.2875,8.4814,21.1146,21360860430.0,28.0685,37.1475,6.0,2.0,32.749,35.5173
2022-07-22,9.84,11.2,13.8211,41.7303,110.2267,7.9559,21.1138,20037260880.0,28.0685,37.1475,6.0,2.0,32.749,35.5173
2022-07-25,9.68,11.2,15.7025,41.0517,110.0995,7.8265,21.102,19711451760.0,28.0685,37.1475,6.0,2.0,32.749,35.5173
2022-07-26,9.4,11.2,19.1489,39.8643,110.0746,7.6001,21.1,19141285800.0,28.0685,37.1475,6.0,2.0,32.749,35.5173
2022-07-27,10.02,11.2,11.7764,42.4936,110.0498,8.1014,21.0981,20403796140.0,28.0685,37.1475,6.0,2.0,32.749,35.5173
2022-07-28,10.13,10.9455,8.0503,43.1983,110.0471,8.2163,21.0034,20627789910.0,28.0697,37.0942,6.0,2.0,32.749,35.5173
2022-07-29,10.35,10.9455,5.7536,44.1365,110.0443,8.3947,20.9088,21075777450.0,28.0697,37.0942,6.0,2.0,32.749,35.5173
2022-08-01,10.47,11.1273,6.2779,44.8202,109.9226,8.5241,20.8811,21320134290.0,27.6531,36.7268,6.0,2.0,32.749,35.5173
2022-08-02,10.92,11.1273,1.8984,46.7466,109.801,8.8903,20.8534,22236472440.0,27.6531,36.7268,6.0,2.0,32.749,35.5173
2022-08-03,11.2,11.1273,-0.6491,47.9452,109.7996,9.1183,20.8534,22806638400.0,27.6531,36.7268,6.0,2.0,32.749,35.5173
2022-08-04,11.32,11.1273,-1.7023,48.4589,109.7981,9.216,20.8534,23050995240.0,27.6531,36.7268,6.0,2.0,32.749,35.5173
2022-08-05,11.45,11.1273,-2.8183,49.0154,109.6913,9.3218,20.8284,23315715150.0,27.6531,36.7268,6.0,2.0,32.749,35.5173
2022-08-08,9.82,10.5818,7.7576,49.6461,109.5845,8.4595,20.8034,20178126180.0,24.6313,55.4778,6.0,3.0,27.8568,31.0687
2022-08-09,9.25,10.4,12.4324,50.2172,109.5436,8.0346,20.803,19006890750.0,24.4004,64.4379,6.0,3.0,27.8568,31.7682
2022-08-10,9.59,10.4,8.4463,52.063,109.5027,8.33,20.8025,19705522410.0,24.4004,64.4379,6.0,3.0,27.8568,31.7682
2022-08-11,9.42,10.4,10.4034,51.1401,109.4868,8.1823,20.7877,19356206580.0,24.4004,64.4379,6.0,3.0,27.8568,31.7682
2022-08-12,9.91,10.4,4.9445,53.8002,109.471,8.6079,20.7729,20363058090.0,24.4004,64.4379,6.0,3.0,27.8568,31.7682
2022-08-15,9.91,10.4,4.9445,53.8002,109.4334,8.6079,20.768,20363058090.0,24.4004,64.4379,6.0,3.0,27.8568,31.7682
2022-08-16,9.74,10.4,6.7762,52.8773,109.3957,8.4602,20.763,20013742260.0,24.4004,64.4379,6.0,3.0,27.8568,31.7682
2022-08-17,9.43,10.79,14.4221,51.1944,109.3022,8.191,20.746,19376754570.0,24.4004,64.4379,6.0,3.0,27.8568,31.7682
2022-08-18,9.15,10.79,17.9235,49.6743,109.2086,7.9478,20.7291,18801410850.0,24.4004,64.4379,6.0,3.0,27.8568,31.7682
2022-08-19,8.51,10.79,26.792,46.1998,109.208,7.3919,20.7264,17486339490.0,24.4004,64.4379,6.0,3.0,27.8568,31.7682
2022-08-22,8.07,10.79,33.7051,43.8111,109.2073,7.0097,20.7236,16582227930.0,24.4004,64.4379,6.0,3.0,27.8568,31.7682
2022-08-23,8.01,10.79,34.7066,43.4853,109.0788,6.9576,20.6946,16458939990.0,24.4004,64.4379,6.0,3.0,27.8568,31.7682
2022-08-24,8.1,10.79,33.2099,43.9739,108.9502,7.0357,20.6655,16643871900.0,24.4003,64.4379,6.0,3.0,27.8568,31.7682
2022-08-25,8.42,10.79,28.1473,45.7112,108.9303,7.3137,20.6434,17301407580.0,24.4003,64.4379,6.0,3.0,27.8568,31.7682
2022-08-26,7.94,10.79,35.8942,43.1053,108.9104,6.8968,20.6214,16315104060.0,24.4003,64.4379,6.0,3.0,27.8568,31.7682
2022-08-29,7.81,10.52,34.6991,42.3996,108.8619,6.8233,20.6179,16047980190.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-08-30,7.79,10.52,35.0449,42.291,108.8134,6.8059,20.6144,16006884210.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-08-31,7.72,10.52,36.2694,41.911,108.6604,6.7447,20.6048,15863048280.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-01,7.49,10.52,40.4539,40.6623,108.5075,6.5438,20.5952,15390444510.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-02,7.4,10.52,42.1622,40.1737,108.5075,6.4651,20.5691,15205512600.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-06,7.28,10.52,44.5055,39.5223,108.5075,6.3603,20.543,14958936720.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-07,7.39,10.52,42.3545,40.1194,108.4598,6.4564,20.5356,15184964610.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-08,7.53,10.52,39.7078,40.8795,108.4121,6.5787,20.5283,15472636470.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-09,7.79,10.52,35.0449,42.291,108.1364,6.8059,20.5219,16006884210.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-12,8.01,10.52,31.3358,43.4853,107.8607,6.9981,20.5155,16458939990.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-13,7.48,10.52,40.6417,40.608,107.788,6.535,20.5022,15369896520.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-14,7.63,10.52,37.8768,41.4224,107.7153,6.6661,20.4889,15678116370.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-15,8.01,10.52,31.3358,43.4853,107.575,6.9981,20.4608,16458939990.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-16,7.78,10.52,35.2185,42.2367,107.4348,6.7971,20.4327,15986336220.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-19,7.86,10.52,33.8422,42.671,107.3492,6.867,20.4038,16150720140.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-20,7.62,10.52,38.0577,41.3681,107.2637,6.6573,20.3748,15657568380.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-21,7.69,10.52,36.801,41.7481,107.214,6.7185,20.362,15801404310.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-22,7.37,10.52,42.7408,40.0109,107.1642,6.4389,20.3492,15143868630.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-23,7.4,10.52,42.1622,40.1737,107.0287,6.4651,20.3492,15205512600.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-26,7.53,10.52,39.7078,40.8795,106.8932,6.5787,20.3492,15472636470.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-27,7.63,10.52,37.8768,41.4224,106.8794,6.6661,20.3313,15678116370.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-28,7.94,10.52,32.4937,43.1053,106.8657,6.9369,20.3134,16315104060.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-29,8.08,10.52,30.198,43.8654,106.8408,7.0592,20.3038,16602775920.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-09-30,8.13,10.52,29.3973,44.1368,106.8159,7.1029,20.2943,16705515870.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-03,8.24,10.52,27.6699,44.734,106.5672,7.199,20.2922,16931543760.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-04,8.46,10.52,24.3499,45.9283,106.3184,7.3912,20.29,17383599540.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-05,8.42,10.52,24.9406,45.7112,105.995,7.3563,20.1574,17301407580.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-06,8.47,10.52,24.2031,45.9826,105.6716,7.3999,20.0249,17404147530.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-07,8.15,10.52,29.0798,44.2454,105.6218,7.1204,19.962,16746611850.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-10,8.06,10.52,30.5211,43.7568,105.5721,7.0417,19.8992,16561679940.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-11,8.04,10.52,30.8458,43.6482,105.4242,7.0243,19.872,16520583960.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-12,8.07,10.52,30.3594,43.8111,105.2763,7.0505,19.8448,16582227930.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-13,8.08,10.52,30.198,43.8654,104.6963,7.0592,19.8066,16602775920.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-14,7.53,10.52,39.7078,40.8795,104.1162,6.5787,19.7683,15472636470.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-17,7.94,10.52,32.4937,43.1053,103.8983,6.9369,19.7499,16315104060.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-18,8.16,10.52,28.9216,44.2997,103.6804,7.1291,19.7314,16767159840.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-19,7.91,10.52,32.9962,42.9425,103.5888,6.9107,19.7212,16253460090.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-20,8.04,10.42,29.602,43.6482,103.4972,7.0243,19.7109,16520583960.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-21,8.29,10.42,25.6936,45.0054,103.3655,7.2427,19.6564,17034283710.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-24,8.27,10.42,25.9976,44.8969,102.8358,7.2252,19.5944,16993187730.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-25,8.66,10.42,20.3233,47.0141,102.6939,7.5659,19.581,17794559340.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-26,8.57,10.42,21.5869,46.5255,102.552,7.4873,19.5675,17609627430.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-27,8.6,10.42,21.1628,46.6884,102.5446,7.5135,19.501,17671271400.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-28,8.64,10.42,20.6019,46.9055,102.5373,7.5485,19.4345,17753463360.0,23.7607,64.4379,6.0,3.0,27.8568,31.7682
2022-10-31,8.79,10.32,17.4061,48.3233,102.4073,7.6949,19.4038,18061683210.0,23.7028,65.7124,7.0,3.0,27.8568,31.7682
2022-11-01,8.65,10.32,19.3064,47.5536,102.2773,7.5723,19.373,17774011350.0,23.7028,65.7124,7.0,3.0,27.8568,31.7682
2022-11-02,8.22,10.32,25.5474,45.1897,102.2524,7.1959,19.356,16890447780.0,23.7028,65.7124,7.0,3.0,27.8568,31.7682
2022-11-03,8.08,10.32,27.7228,44.42,102.2276,7.0733,19.339,16602775920.0,23.7028,65.7124,7.0,3.0,27.8568,31.7682
2022-11-04,7.93,10.32,30.1387,43.5954,102.1308,6.942,19.3162,16294556070.0,23.7028,65.7124,7.0,3.0,27.8568,31.7682
2022-11-07,7.02,9.32,32.7635,39.5939,102.0339,6.3305,19.2934,14554320300.0,22.4445,80.8062,8.0,3.0,28.9806,32.6556
2022-11-08,7.21,9.32,29.2649,40.6655,101.937,6.5018,19.2487,14948240650.0,22.4445,80.8062,8.0,3.0,28.9806,32.6556
2022-11-09,6.98,9.32,33.5244,39.3683,101.8402,6.2944,19.204,14471389700.0,22.4445,80.8062,8.0,3.0,28.9806,32.6556
2022-11-10,7.64,9.32,21.9895,44.1874,101.8156,6.9243,19.164,15839744600.0,22.3543,85.6121,8.0,3.0,28.0706,34.4325
