date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-03-28,15.1,23.5,55.6291,16.6906,21.3139,1.6171,2.7954,1572532120.0,4.5375,30.3505,1.0,1.0,15.0,128.0128
2002-04-01,15.4,23.5,52.5974,17.0222,21.4345,1.6493,2.8026,1603774480.0,4.5375,30.3505,1.0,1.0,15.0,128.0128
2002-04-02,14.97,23.5,56.9806,16.8809,21.3993,1.6102,2.8014,1558993764.0,4.5526,31.2353,1.0,1.0,15.0,128.0128
2002-04-03,14.8,23.5,58.7838,16.6892,21.3641,1.5919,2.7984,1541289760.0,4.5526,31.2353,1.0,1.0,15.0,128.0128
2002-04-04,14.7,23.5,59.8639,16.5765,21.3641,1.5811,2.7984,1530875640.0,4.5526,31.2353,1.0,1.0,15.0,128.0128
2002-04-05,13.7,23.5,71.5328,15.4488,21.3641,1.4736,2.7984,1426734440.0,4.5526,31.2353,1.0,1.0,15.0,128.0128
2002-04-08,14.65,23.5,60.4096,16.5201,21.3993,1.5757,2.8014,1525668580.0,4.5526,31.2353,1.0,1.0,15.0,128.0128
2002-04-09,14.1,23.5,66.6667,16.6039,21.3641,1.5551,2.7984,1468390920.0,4.667,34.2698,1.0,1.0,15.0,139.8106
2002-04-10,14.15,23.5,66.0777,16.6627,21.3139,1.5607,2.7954,1473597980.0,4.667,34.2698,1.0,1.0,15.0,139.8106
2002-04-11,13.97,23.5,68.2176,16.4508,21.3139,1.5408,2.7954,1454852564.0,4.667,34.2698,1.0,1.0,15.0,139.8106
2002-04-12,14.2,23.5,65.493,17.2267,21.3139,1.5662,2.7954,1478805040.0,4.667,34.7232,1.0,1.0,15.0,139.8106
2002-04-15,14.57,23.5,61.2903,18.2262,21.3993,1.6182,2.7954,1517337284.0,4.6796,38.9425,1.0,1.0,15.0,139.8106
2002-04-16,13.05,23.5,80.0766,16.3247,21.3641,1.4503,2.7954,1359961380.0,4.6796,38.9425,1.0,1.0,15.0,139.8106
2002-04-17,13.05,23.5,80.0766,16.3247,21.3139,1.4503,2.7954,1359961380.0,4.6796,38.9425,1.0,1.0,15.0,139.8106
2002-04-18,12.78,23.5,83.8811,15.987,21.3139,1.4203,2.7954,1331824248.0,4.6796,38.9425,1.0,1.0,15.0,139.8106
2002-04-19,12.5,23.5,88.0,16.9952,21.3139,1.4244,2.7954,1302645000.0,4.7859,40.4388,1.0,1.0,15.0,139.8106
2002-04-22,12.07,23.5,81.2345,17.9827,21.3641,1.3923,2.7928,1257834012.0,4.7859,40.4388,1.0,1.0,15.0,139.8106
2002-04-23,11.82,23.5,85.0677,17.6103,21.3139,1.3635,2.7902,1231781112.0,4.7859,40.4388,1.0,1.0,15.0,139.8106
2002-04-24,11.43,23.5,91.3823,17.0292,21.2636,1.3185,2.7896,1191138588.0,4.7859,40.4388,1.0,1.0,15.0,139.8106
2002-04-25,11.25,20.8333,85.1849,16.761,21.2406,1.2977,2.7891,1172380500.0,4.9019,51.6079,1.0,1.0,15.0,132.5542
2002-04-26,10.93,20.8333,90.6066,16.2843,21.2406,1.2608,2.7891,1139032788.0,4.9019,51.6079,1.0,1.0,15.0,132.5542
2002-04-29,10.18,20.8333,104.6493,15.1669,21.3139,1.1743,2.7902,1060874088.0,4.9019,51.6079,1.0,1.0,15.0,132.5542
2002-04-30,10.1,20.8333,106.2703,15.4813,21.2636,1.1651,2.7896,1052537160.0,4.9019,63.9405,1.0,1.0,15.0,132.5542
2002-05-01,10.65,20.8333,95.6178,16.3243,21.2406,1.2285,2.7891,1109853540.0,4.9019,63.9405,1.0,1.0,15.0,132.5542
2002-05-02,10.55,20.8333,97.472,16.1711,21.2406,1.217,2.7891,1099432380.0,4.9019,63.9405,1.0,1.0,15.0,132.5542
2002-05-03,10.43,20.8333,99.744,18.8812,21.2406,1.2031,2.7891,1086926988.0,4.9019,69.4622,1.0,1.0,15.0,132.5542
2002-05-06,9.9,20.8333,110.4374,17.9218,21.3139,1.142,2.7891,1031694840.0,4.9019,69.4622,1.0,1.0,15.0,132.5542
2002-05-07,9.75,20.8333,113.6749,17.6503,21.2636,1.1247,2.7884,1016063100.0,4.9019,69.4622,1.0,1.0,15.0,132.5542
2002-05-08,9.85,20.8333,111.5056,17.8313,21.2406,1.1362,2.7876,1026484260.0,4.9019,69.4622,1.0,1.0,15.0,132.5542
2002-05-09,9.53,20.8333,118.6076,17.252,21.2406,1.0993,2.7876,993136548.0,4.9019,69.4622,1.0,1.0,15.0,132.5542
2002-05-10,9.38,20.8333,122.1034,16.9804,21.2406,1.082,2.7876,977504808.0,4.9019,69.4622,1.0,1.0,15.0,132.5542
2002-05-13,9.22,20.8333,125.9577,16.6908,21.3139,1.0635,2.759,960830952.0,4.9019,69.4622,1.0,1.0,15.0,132.5542
2002-05-14,9.2,20.8333,126.4489,16.6546,21.2636,1.0612,2.7582,958746720.0,4.9019,69.4622,1.0,1.0,15.0,132.5542
2002-05-15,9.22,20.8333,125.9577,16.6908,21.2406,1.0635,2.7575,960830952.0,4.9019,69.4622,1.0,1.0,15.0,132.5542
2002-05-16,9.55,20.8333,118.1497,17.2882,21.2406,1.1016,2.7516,995220780.0,4.9019,69.4622,1.0,1.0,15.0,132.5542
2002-05-17,9.32,20.8333,123.5333,16.8718,21.2406,1.0751,2.7446,971252112.0,4.9019,69.4622,1.0,1.0,15.0,132.5542
2002-05-20,8.82,20.8333,136.2052,15.9667,21.3139,1.0174,2.7279,919146312.0,4.9019,69.4622,1.0,1.0,15.0,132.5542
2002-05-21,8.55,20.8333,143.6643,16.2116,21.3139,0.9863,2.7187,891009180.0,4.9019,66.1985,1.0,1.0,15.0,132.5542
2002-05-22,8.4,20.8333,148.0155,15.9272,21.2636,0.969,2.7094,875377440.0,4.9019,66.1985,1.0,1.0,15.0,132.5542
2002-05-23,8.38,20.8333,148.6074,15.8893,21.2636,0.9667,2.7039,873293208.0,4.9019,66.1985,1.0,1.0,15.0,132.5542
2002-05-24,8.5,20.8333,145.0976,16.1168,21.2636,0.9805,2.7038,885798600.0,4.9019,66.1985,1.0,1.0,15.0,132.5542
2002-05-28,8.62,20.8333,141.6856,16.3443,21.3641,0.9943,2.696,898303992.0,4.9019,66.1985,1.0,1.0,15.0,132.5542
2002-05-29,8.65,20.8333,140.8474,17.7145,21.3641,0.9978,2.6903,901430340.0,4.9019,77.8055,1.0,1.0,15.0,82.8351
2002-05-30,8.5,20.8333,145.0976,21.4322,21.3982,1.0153,2.6886,885798600.0,-3.8806,160.223,2.0,1.0,15.0,82.8351
2002-05-31,8.7,20.8333,139.4632,21.9365,21.4334,1.0392,2.6886,906640920.0,-3.8806,160.223,2.0,1.0,15.0,82.8351
2002-06-03,8.57,20.8333,143.0957,21.6087,21.5242,1.0237,2.6886,893093412.0,-3.8806,160.223,2.0,1.0,15.0,82.8351
2002-06-04,9.28,20.8333,124.4968,23.3989,21.5446,1.1085,2.6869,967083648.0,-3.8806,160.223,2.0,1.0,15.0,82.8351
2002-06-05,9.6,20.8333,117.0135,24.2057,21.5542,1.1467,2.6814,1000431360.0,-3.8806,160.223,2.0,1.0,15.0,82.8351
2002-06-06,9.5,20.8333,119.2979,23.9536,21.5741,1.1348,2.6716,990010200.0,-3.8806,160.223,2.0,1.0,15.0,82.8351
2002-06-07,9.68,20.8333,115.22,24.4075,21.5966,1.1563,2.6648,1008768288.0,-3.8806,160.223,2.0,1.0,15.0,82.8351
2002-06-10,9.5,20.8333,119.2979,23.9536,21.7168,1.1348,2.6478,990010200.0,-3.8806,160.223,2.0,1.0,15.0,82.8351
2002-06-11,9.22,20.8333,125.9577,23.2476,21.7457,1.1013,2.6478,960830952.0,-3.8806,160.223,2.0,1.0,15.0,82.8351
2002-06-12,8.65,20.8333,140.8474,21.8104,21.7776,1.0333,2.6478,901430340.0,-3.8806,160.223,2.0,1.0,15.0,82.8351
2002-06-13,9.0,20.8333,131.4811,22.6929,21.81,1.0751,2.6444,937904400.0,-3.8806,160.223,2.0,1.0,15.0,82.8351
2002-06-14,8.88,20.8333,134.6092,22.3903,21.8122,1.0607,2.6404,925399008.0,-3.8806,160.223,2.0,1.0,15.0,82.8351
2002-06-17,9.47,20.8333,119.9926,23.878,21.8833,1.1312,2.6377,986883852.0,-3.8806,160.223,2.0,1.0,15.0,82.8351
2002-06-18,9.45,20.8333,120.4582,23.8275,21.887,1.1288,2.6369,984799620.0,-3.8806,160.223,2.0,1.0,15.0,82.8351
2002-06-19,8.03,20.8333,159.4433,20.2471,21.8833,0.9592,2.6361,836819148.0,-3.8806,160.223,2.0,1.0,15.0,82.8351
2002-06-20,8.28,20.8333,151.6099,24.4753,21.8907,0.9891,2.6272,862872048.0,-3.8806,435.6361,2.0,1.0,15.0,82.8351
2002-06-21,8.28,20.8333,151.6099,24.4753,21.9178,0.9891,2.6199,862872048.0,-3.6912,435.6361,2.0,1.0,15.0,82.8351
2002-06-24,8.78,20.8333,137.2813,25.9533,21.9884,1.0488,2.6097,914977848.0,-3.6912,435.6361,2.0,1.0,15.0,82.8351
2002-06-25,8.6,20.8333,142.2477,25.4212,22.0213,1.0273,2.6073,896219760.0,-3.6912,435.6361,2.0,1.0,15.0,82.8351
2002-06-26,8.03,20.8333,159.4433,23.7363,22.0614,0.9592,2.6064,836819148.0,-3.6912,435.6361,2.0,1.0,15.0,82.8351
2002-06-27,9.15,20.8333,127.6863,27.047,22.1035,1.093,2.6054,953536140.0,-3.6912,435.6361,2.0,1.0,15.0,82.8351
2002-06-28,8.57,20.8333,143.0957,25.3325,22.1196,1.0237,2.6052,893093412.0,-3.6912,435.6361,2.0,1.0,15.0,82.8351
2002-07-01,8.45,20.8333,146.5479,24.9778,22.1981,1.0094,2.5998,880588020.0,-3.6912,435.6361,2.0,1.0,15.0,82.8351
2002-07-02,7.53,20.8333,176.6707,22.2584,22.2283,0.8995,2.5972,784713348.0,-3.6912,435.6361,2.0,1.0,15.0,82.8351
2002-07-03,7.72,20.8333,169.8614,22.82,22.2584,0.9222,2.5952,804513552.0,-3.6912,435.6361,2.0,1.0,15.0,82.8351
2002-07-05,8.38,20.8333,148.6074,24.7709,22.3502,1.001,2.5788,873293208.0,-3.6912,435.6361,2.0,1.0,15.0,82.8351
2002-07-08,7.85,20.8333,165.3924,23.2043,22.3903,0.9377,2.562,818061060.0,-3.6912,435.6361,2.0,1.0,15.0,82.8351
2002-07-09,7.65,20.8333,172.3307,22.6131,22.3903,0.9138,2.5614,797218740.0,-3.6912,435.6361,2.0,1.0,15.0,82.8351
2002-07-10,7.38,20.8333,182.294,21.815,22.3903,0.8815,2.5607,769081608.0,-3.6912,435.6361,2.0,1.0,15.0,82.8351
2002-07-11,7.58,20.8333,174.8456,25.8615,22.3918,0.922,2.5573,789923928.0,-3.63,388.3047,2.0,1.0,15.0,80.9473
2002-07-12,7.65,20.8333,172.3307,26.1003,22.409,0.9305,2.5553,797218740.0,-3.63,388.3047,2.0,1.0,15.0,80.9473
2002-07-15,7.53,20.8333,176.6707,30.2046,22.4299,0.9159,2.5433,784713348.0,-3.63,254.383,2.0,1.0,15.0,79.4061
2002-07-16,8.15,20.8333,155.6233,32.6915,22.4414,0.9924,2.5428,850289500.0,-3.6347,277.1852,2.0,1.0,15.0,79.4061
2002-07-17,8.25,20.8333,152.5248,33.0927,22.4529,1.0046,2.5422,860722500.0,-3.6347,304.5284,2.0,1.0,15.0,79.4061
2002-07-18,8.38,20.8333,148.6074,33.6141,22.4648,1.0204,2.54,874285400.0,-3.6347,304.5284,2.0,1.0,15.0,79.4061
2002-07-19,7.85,20.8333,165.3924,31.4882,22.5099,1.0196,2.5366,818990500.0,-3.5567,131.9529,2.0,1.0,15.0,79.4061
2002-07-22,7.62,20.8333,173.4029,30.5656,22.5642,0.9898,2.5301,794994600.0,-3.5567,131.9529,2.0,1.0,15.0,79.4061
2002-07-23,7.53,20.8333,176.6707,30.2046,22.572,0.9781,2.5286,785604900.0,-3.5567,131.9529,2.0,1.0,15.0,79.4061
2002-07-24,8.35,20.8333,149.5006,33.4938,22.5799,1.0846,2.5271,871155500.0,-3.5567,131.9529,2.0,1.0,15.0,79.4061
2002-07-25,8.0,21.25,165.625,43.0802,22.6131,1.0987,2.525,834640000.0,-3.473,89.8182,2.0,1.0,15.0,63.5256
2002-07-26,8.1,21.25,162.3457,43.6187,22.6182,1.1125,2.5223,845073000.0,-3.473,89.8182,2.0,1.0,15.0,63.5256
2002-07-29,8.12,21.25,161.6995,43.7264,22.6982,1.1152,2.5087,847159600.0,-3.473,89.8182,2.0,1.0,15.0,63.5256
2002-07-30,8.35,21.25,154.491,44.965,22.7193,1.1468,2.5076,871155500.0,-3.473,89.8182,2.0,1.0,15.0,63.5256
2002-07-31,7.8,21.25,172.4359,42.0032,22.7403,1.0713,2.5064,813774000.0,-3.473,89.8182,2.0,1.0,15.0,63.5256
2002-08-01,8.18,21.25,159.78,44.0495,22.7472,1.1235,2.5004,853419400.0,-3.473,89.8182,2.0,1.0,15.0,63.5256
2002-08-02,7.8,21.25,172.4359,37.8274,22.7837,1.0713,2.4932,813774000.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-05,6.83,21.25,211.1274,33.1232,22.82,0.938,2.4859,712573900.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-06,7.42,21.25,186.3881,35.9845,22.8216,1.0191,2.481,774128600.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-07,7.42,21.25,186.3881,35.9845,22.8231,1.0191,2.481,774128600.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-08,7.67,21.25,177.0535,37.1969,22.8437,1.0534,2.4802,800211100.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-09,7.25,21.25,193.1034,35.16,22.8765,0.9957,2.4784,756392500.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-12,6.95,21.25,205.7554,33.7051,22.8935,0.9545,2.4767,725093500.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-13,6.4,21.25,232.0312,31.0378,22.9393,0.879,2.4763,667712000.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-14,6.8,21.25,212.5,32.9777,22.9852,0.9339,2.4747,709444000.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-15,6.85,21.25,210.219,33.2202,23.0962,0.9408,2.472,714660500.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-16,7.08,21.25,200.1412,34.3356,23.1069,0.9724,2.4706,738656400.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-19,6.97,21.25,204.878,33.8021,23.1432,0.9573,2.4684,727180100.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-20,6.3,21.25,237.3016,30.5529,23.1506,0.8653,2.4667,657279000.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-21,6.25,21.25,240.0,30.3104,23.1579,0.8584,2.4667,652062500.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-22,7.17,21.25,196.3738,34.7721,23.1692,0.9847,2.4667,748046100.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-23,6.88,21.25,208.8663,33.3657,23.1731,0.9449,2.4667,717790400.0,-3.473,198.045,2.0,1.0,15.0,63.5256
2002-08-26,7.1,21.25,199.2958,37.586,23.2042,0.9795,2.4667,740743000.0,-3.4625,196.6489,2.0,1.0,15.0,63.5256
2002-08-27,7.1,21.25,199.2958,37.586,23.2043,0.9795,2.4667,740743000.0,-3.4625,196.6489,2.0,1.0,15.0,63.5256
2002-08-28,6.45,21.25,229.4574,34.1451,23.2148,0.8899,2.4638,672928500.0,-3.4625,196.6489,2.0,1.0,15.0,63.5256
2002-08-29,6.55,21.25,224.4275,30.3803,23.2364,0.9076,2.46,683361500.0,-3.4454,256.8705,2.0,1.0,15.0,63.5256
2002-08-30,5.7,21.25,272.807,26.4378,23.2583,0.7898,2.459,594681000.0,-3.4454,256.8705,2.0,1.0,15.0,63.5256
2002-09-03,5.58,21.25,280.8244,26.433,23.407,0.7807,2.4523,582161400.0,-3.4176,257.8415,2.0,2.0,10.0,63.5256
2002-09-04,5.8,21.25,266.3793,27.4751,23.415,0.8114,2.4523,605114000.0,-3.4176,257.8415,2.0,2.0,10.0,63.5256
2002-09-05,5.85,21.25,263.2479,27.712,23.415,0.8184,2.4523,610330500.0,-3.4176,257.8415,2.0,2.0,10.0,63.5256
2002-09-06,6.2,21.25,242.7419,29.37,23.4667,0.8674,2.4523,646846000.0,-3.4176,257.8415,2.0,2.0,10.0,63.5256
2002-09-09,6.2,21.25,222.5806,27.9405,23.5895,0.873,2.4389,646846000.0,-3.4176,257.8415,2.0,2.0,10.0,63.5256
2002-09-10,6.78,21.25,194.9853,30.5543,23.6095,0.9546,2.4371,707357400.0,-3.4176,257.8415,2.0,2.0,10.0,63.5256
2002-09-11,6.7,21.25,198.5075,30.1938,23.6095,0.9434,2.4353,699011000.0,-3.4176,257.8415,2.0,2.0,10.0,63.5256
2002-09-12,7.05,21.25,183.6879,31.7711,23.6132,0.9927,2.4262,735526500.0,-3.4176,257.8415,2.0,2.0,10.0,63.5256
2002-09-13,6.75,21.25,196.2963,30.4191,23.6376,0.9504,2.4262,704227500.0,-3.4176,257.8415,2.0,2.0,10.0,63.5256
2002-09-16,6.47,21.25,209.119,29.1573,23.6946,0.911,2.4253,675015100.0,-3.4176,257.8415,2.0,2.0,10.0,63.5256
2002-09-17,5.95,21.25,236.1345,26.8139,23.7149,0.8378,2.4195,620763500.0,-3.4176,257.8415,2.0,3.0,11.6667,63.5256
2002-09-18,5.78,21.25,246.0208,26.0478,23.7154,0.8138,2.4137,603027400.0,-3.4176,257.8415,2.0,3.0,11.6667,63.5256
2002-09-19,5.25,21.25,280.9524,23.6593,23.7154,0.7392,2.411,547732500.0,-3.4176,257.8415,2.0,3.0,11.6667,63.5256
2002-09-20,5.55,21.25,260.3604,25.0113,23.7261,0.7815,2.3967,579031500.0,-3.4176,257.8415,2.0,3.0,11.6667,63.5256
2002-09-23,5.08,21.25,293.7008,22.8932,23.7384,0.7153,2.3823,529996400.0,-3.4176,257.8415,2.0,3.0,11.6667,63.5256
2002-09-24,4.9,21.25,308.1633,24.0196,23.7404,0.6972,2.3778,511217000.0,-3.3628,230.9514,2.0,4.0,11.25,80.1671
2002-09-25,4.78,21.25,318.41,23.4314,23.7384,0.6801,2.3733,498697400.0,-3.3628,230.9514,2.0,4.0,11.25,80.1671
2002-09-26,4.8,21.25,316.6667,23.5294,23.7384,0.683,2.3689,500784000.0,-3.3628,230.9514,2.0,4.0,11.25,80.1671
2002-09-27,4.62,21.25,332.9004,22.6471,23.7384,0.6574,2.3689,482004600.0,-3.3628,230.9514,2.0,4.0,11.25,80.1671
2002-09-30,4.5,21.25,344.4444,21.0379,23.7404,0.6403,2.3629,469485000.0,-3.3628,258.2954,2.0,4.0,11.25,80.1671
2002-10-01,4.65,21.25,330.1075,21.7391,23.7384,0.6586,2.3623,485134500.0,-3.3497,183.0111,2.0,4.0,11.25,80.1671
2002-10-02,4.4,21.25,354.5455,20.5704,23.7363,0.6232,2.3617,459052000.0,-3.3497,183.0111,2.0,4.0,11.25,80.1671
2002-10-03,4.65,21.25,330.1075,21.7391,23.7363,0.6586,2.3545,485134500.0,-3.3497,183.0111,2.0,4.0,11.25,80.1671
2002-10-04,4.45,21.25,349.4382,20.8041,23.7363,0.6303,2.3545,464268500.0,-3.3497,183.0111,2.0,4.0,11.25,80.1671
2002-10-07,4.22,22.5,433.1754,29.2042,23.8248,0.5977,2.3515,440272600.0,-3.3497,143.0594,2.0,4.0,11.25,103.7188
2002-10-08,4.72,22.5,376.6949,32.6644,23.8275,0.6685,2.3486,492437600.0,-3.3497,143.0594,2.0,4.0,11.25,103.7188
2002-10-09,4.4,22.5,411.3636,30.4498,23.8315,0.6232,2.3458,459052000.0,-3.3497,143.0594,2.0,4.0,11.25,103.7188
2002-10-10,4.12,22.5,446.1165,28.5121,23.8567,0.5836,2.3444,429839600.0,-3.3497,143.0594,2.0,4.0,11.25,103.7188
2002-10-11,4.83,22.5,365.8385,35.567,23.8567,0.6831,2.343,503913900.0,-3.3613,138.9674,2.0,4.0,11.25,103.7188
2002-10-14,5.35,22.5,320.5607,39.3962,23.8567,0.7567,2.3341,558165500.0,-3.3611,138.9674,2.0,4.0,11.25,103.7188
2002-10-15,4.45,4.5,1.1236,14.8333,23.8355,0.5651,2.3334,464268500.0,3.6064,165.6184,2.0,4.0,11.25,151.2317
2002-10-16,4.55,4.5,-1.0989,15.1667,23.8315,0.5778,2.3327,474701500.0,3.6064,165.6184,2.0,4.0,11.25,151.2317
2002-10-17,4.67,4.5,-3.6403,15.5667,23.8315,0.593,2.3267,487221100.0,3.6064,165.6184,2.0,4.0,11.25,244.3317
2002-10-18,5.0,4.5,-10.0,16.6667,23.8315,0.6349,2.3266,521650000.0,3.6064,165.6184,2.0,4.0,11.25,244.3317
2002-10-21,5.58,4.5,-19.3548,18.6,23.8355,0.7086,2.3168,582161400.0,3.6064,165.6184,2.0,4.0,11.25,244.3317
2002-10-22,5.3,4.5,-15.0943,17.6667,23.8315,0.673,2.3104,552949000.0,3.6064,165.6184,2.0,4.0,11.25,244.3317
2002-10-23,5.4,4.5,-16.6667,18.0,23.8275,0.6857,2.3042,563382000.0,3.6064,165.6184,2.0,4.0,11.25,244.3317
2002-10-24,5.85,4.5,-23.0769,19.5,23.8275,0.7429,2.2976,610330500.0,3.6064,165.6184,2.0,4.0,11.25,244.3317
2002-10-25,6.0,4.5,-25.0,20.0,23.8275,0.7619,2.2937,625980000.0,3.6064,165.6184,2.0,4.0,11.25,244.3317
2002-10-28,6.33,4.5,-28.91,21.1,23.8222,0.8038,2.289,660408900.0,3.6131,163.5402,2.0,4.0,11.25,244.3317
2002-10-29,6.3,4.5,-28.5714,21.0,23.7813,0.8,2.2885,657279000.0,3.6131,163.5402,2.0,4.0,11.25,244.3317
2002-10-30,6.45,4.5,-30.2326,21.5,23.7404,0.819,2.2866,672928500.0,3.6131,163.5402,2.0,4.0,11.25,244.3317
2002-10-31,5.78,4.5,-22.1453,19.2667,23.7363,0.734,2.2846,603027400.0,3.6131,163.5402,2.0,4.0,11.25,244.3317
2002-11-01,6.5,4.5,-30.7692,21.6667,23.7159,0.8254,2.2834,678145000.0,3.6131,163.4877,2.0,4.0,11.25,244.3317
2002-11-04,6.9,4.5,-34.7826,23.0,23.6744,0.8762,2.2702,719877000.0,3.6131,165.6184,2.0,4.0,11.25,244.3317
2002-11-05,7.0,4.5,-35.7143,23.3333,23.6668,0.8889,2.2702,730310000.0,3.6131,165.6184,2.0,4.0,11.25,244.3317
2002-11-06,6.85,4.5,-34.3066,22.8333,23.6593,0.8698,2.2702,714660500.0,3.6131,165.6184,2.0,4.0,11.25,244.3317
2002-11-07,6.38,4.5,-29.4671,21.2667,23.6582,0.8102,2.2662,665625400.0,3.6131,163.4877,2.0,4.0,11.25,244.3317
2002-11-08,5.7,4.5,-21.0526,19.0,23.6169,0.7238,2.2594,594681000.0,3.6131,163.4877,2.0,4.0,11.25,244.3317
2002-11-11,5.5,4.5,-18.1818,18.3333,23.6095,0.6984,2.2532,573815000.0,3.6131,163.4877,2.0,4.0,11.25,244.3317
2002-11-12,5.33,4.5,-15.5722,17.7667,23.5895,0.6768,2.2497,556078900.0,3.6131,163.4877,2.0,3.0,8.3333,244.3317
2002-11-13,5.35,4.5,-15.8879,17.8333,23.5695,0.6794,2.2466,558165500.0,3.6131,163.4877,2.0,3.0,8.3333,244.3317
2002-11-14,6.17,4.5,-27.0665,20.5667,23.5528,0.7835,2.2432,643716100.0,3.6131,163.4877,2.0,3.0,8.3333,244.3317
2002-11-15,6.7,4.5,-32.8358,22.3333,23.5294,0.8508,2.2412,699011000.0,3.6131,163.4877,2.0,3.0,8.3333,244.3317
2002-11-18,6.38,4.5,-29.4671,21.2667,23.4804,0.8102,2.2361,665625400.0,3.6131,163.4877,2.0,3.0,8.3333,244.3317
2002-11-19,6.15,4.5,-26.8293,20.5,23.4314,0.781,2.2356,641629500.0,3.6131,163.4877,2.0,3.0,8.3333,244.3317
2002-11-20,6.95,4.5,-35.2518,23.1667,23.4232,0.8825,2.2352,725093500.0,3.6131,163.4877,2.0,3.0,8.3333,244.3317
2002-11-21,7.03,4.5,-35.9886,23.4333,23.4232,0.8927,2.2281,733439900.0,3.6131,163.4877,2.0,3.0,8.3333,244.3317
2002-11-22,7.05,4.5,-36.1702,23.5,23.4324,0.8952,2.2278,735526500.0,3.6131,163.4877,2.0,3.0,8.3333,244.3317
2002-11-25,7.42,4.5,-39.3531,24.7333,23.4232,0.9422,2.2024,774128600.0,3.6131,163.4877,2.0,3.0,8.3333,244.3317
2002-11-26,7.7,4.5,-41.5584,25.6667,23.4314,0.9778,2.2016,803341000.0,3.6131,163.4877,2.0,3.0,8.3333,244.3317
2002-11-27,8.0,4.5,-43.75,26.6667,23.4324,1.0159,2.2009,834640000.0,3.6131,163.4877,2.0,3.0,8.3333,244.3317
2002-11-29,7.75,4.5,-41.9355,25.8333,23.4333,0.9841,2.1993,808557500.0,3.6131,163.3448,2.0,4.0,10.0,244.3317
2002-12-02,8.0,7.25,-9.375,26.6667,23.5294,1.0159,2.1906,834640000.0,3.6131,165.7265,2.0,4.0,10.0,244.3317
2002-12-03,7.62,7.25,-4.8556,25.4,23.5411,0.9676,2.1871,794994600.0,3.6131,165.7265,2.0,4.0,10.0,244.3317
2002-12-04,7.04,7.25,2.983,23.4667,23.5294,0.894,2.1836,734483200.0,3.6131,165.7265,2.0,4.0,10.0,244.3317
2002-12-05,7.15,7.25,1.3986,23.8333,23.5528,0.9079,2.1776,745959500.0,3.6131,165.7265,2.0,4.0,10.0,244.3317
2002-12-06,6.47,7.25,12.0556,21.5667,23.5528,0.8216,2.1731,675015100.0,3.6131,165.7265,2.0,4.0,10.0,244.3317
2002-12-09,5.75,7.25,26.087,19.1667,23.5695,0.7302,2.1643,599897500.0,3.6131,165.7265,2.0,4.0,10.0,244.3317
2002-12-10,6.08,7.25,19.2434,20.2667,23.5612,0.7721,2.1625,634326400.0,3.6131,165.7265,2.0,4.0,10.0,244.3317
2002-12-11,6.1,7.25,18.8525,20.3333,23.5528,0.7746,2.1623,636413000.0,3.6131,165.7265,2.0,4.0,10.0,244.3317
2002-12-12,6.35,7.25,14.1732,21.1667,23.5528,0.8063,2.162,662495500.0,3.6131,165.7265,2.0,4.0,10.0,244.3317
2002-12-13,6.03,7.25,20.2322,20.1,23.5528,0.7657,2.1495,629109900.0,3.6131,163.3448,2.0,4.0,10.0,244.3317
2002-12-16,6.1,7.25,18.8525,20.3333,23.5695,0.7746,2.1303,636413000.0,3.603,163.2999,2.0,4.0,10.0,244.3317
2002-12-17,5.97,7.25,21.4405,19.9,23.5612,0.7581,2.1303,622850100.0,3.603,163.2999,2.0,4.0,10.0,244.3317
2002-12-18,5.8,7.25,25.0,19.3333,23.5528,0.7365,2.1303,605114000.0,3.603,163.2999,2.0,4.0,10.0,244.3317
2002-12-19,6.15,7.25,17.8862,20.5,23.5528,0.781,2.1239,641629500.0,3.603,163.2999,2.0,4.0,10.0,244.3317
2002-12-20,6.65,7.25,9.0226,22.1667,23.5294,0.8444,2.1186,693794500.0,3.603,163.2999,2.0,4.0,10.0,244.3317
2002-12-23,6.15,7.25,17.8862,20.5,23.4667,0.781,2.1155,641629500.0,3.603,163.2999,2.0,4.0,10.0,244.3317
